Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate
1,0.0000,24.3782,24.3782,2000,0.0100,0.0122,0.0500
2,24.3782,49.2119,24.8337,2000,0.0105,0.0124,0.0500
3,49.2119,74.0833,24.8714,2000,0.0110,0.0124,0.0500
4,74.0833,104.9246,30.8413,2000,0.0116,0.0154,0.0500
5,104.9246,132.9588,28.0341,2000,0.0122,0.0140,0.0500
6,132.9588,164.3847,31.4260,2000,0.0128,0.0157,0.0500
7,164.3847,194.0845,29.6998,2000,0.0134,0.0148,0.0500
8,194.0845,226.2457,32.1613,2000,0.0141,0.0161,0.0500
9,226.2457,261.1737,34.9280,2000,0.0148,0.0175,0.0500
10,261.1737,295.7174,34.5437,2000,0.0155,0.0173,0.0500
11,295.7174,333.5090,37.7917,2000,0.0163,0.0189,0.0500
12,333.5090,374.4651,40.9560,2000,0.0171,0.0205,0.0500
13,374.4651,415.2242,40.7591,2000,0.0180,0.0204,0.0500
14,415.2242,459.1144,43.8902,2000,0.0189,0.0219,0.0500
15,459.1144,505.8337,46.7193,2000,0.0198,0.0234,0.0500
16,505.8337,555.4087,49.5750,2000,0.0208,0.0248,0.0500
17,555.4087,606.9955,51.5868,2000,0.0218,0.0258,0.0500
18,606.9955,660.7549,53.7595,2000,0.0229,0.0269,0.0500
19,660.7549,717.4853,56.7304,2000,0.0241,0.0284,0.0500
20,717.4853,777.4763,59.9909,2000,0.0253,0.0300,0.0500
21,777.4763,842.7914,65.3152,2000,0.0265,0.0327,0.0500
22,842.7914,913.5404,70.7490,2000,0.0279,0.0354,0.0500
23,913.5404,982.9586,69.4182,2000,0.0292,0.0347,0.0500
24,982.9586,1059.8338,76.8751,2000,0.0307,0.0384,0.0500
25,1059.8338,1137.0302,77.1964,2000,0.0322,0.0386,0.0500
26,1137.0302,1218.6422,81.6120,2000,0.0339,0.0408,0.0500
27,1218.6422,1306.9513,88.3091,2000,0.0355,0.0442,0.0500
28,1306.9513,1394.3989,87.4476,2000,0.0373,0.0437,0.0500
29,1394.3989,1483.0529,88.6540,2000,0.0392,0.0443,0.0500
30,1483.0529,1575.4168,92.3639,2000,0.0411,0.0462,0.0500
31,1575.4168,1681.5634,106.1466,2000,0.0432,0.0531,0.0500
32,1681.5634,1789.4073,107.8439,2000,0.0454,0.0539,0.0500
33,1789.4073,1905.6147,116.2075,2000,0.0476,0.0581,0.0500
34,1905.6147,2029.0957,123.4810,2000,0.0500,0.0617,0.0500
35,2029.0957,2156.8750,127.7793,2000,0.0525,0.0639,0.0500
36,2156.8750,2282.6568,125.7818,2000,0.0551,0.0629,0.0500
37,2282.6568,2425.9817,143.3249,2000,0.0579,0.0717,0.0500
38,2425.9817,2568.6184,142.6367,2000,0.0608,0.0713,0.0500
39,2568.6184,2720.3437,151.7253,2000,0.0638,0.0759,0.0500
40,2720.3437,2879.6568,159.3131,2000,0.0670,0.0797,0.0500
41,2879.6568,3044.0882,164.4314,2000,0.0704,0.0822,0.0500
42,3044.0882,3228.6002,184.5119,2000,0.0739,0.0923,0.0500
43,3228.6002,3413.5658,184.9656,2000,0.0776,0.0925,0.0500
44,3413.5658,3606.3927,192.8269,2000,0.0815,0.0964,0.0500
45,3606.3927,3817.1229,210.7302,2000,0.0855,0.1054,0.0500
46,3817.1229,4021.1956,204.0727,2000,0.0898,0.1020,0.0500
47,4021.1956,4221.2936,200.0980,2000,0.0943,0.1000,0.0500
48,4221.2936,4429.3273,208.0338,2000,0.0990,0.1040,0.0500
49,4429.3273,4684.8555,255.5282,2000,0.1040,0.1278,0.0500
50,4684.8555,4941.5628,256.7073,2000,0.1092,0.1284,0.0500
51,4941.5628,5199.8890,258.3262,2000,0.1146,0.1292,0.0500
52,5199.8890,5482.8019,282.9129,2000,0.1204,0.1415,0.0500
53,5482.8019,5795.1596,312.3578,2000,0.1264,0.1562,0.0500
54,5795.1596,6118.9823,323.8226,2000,0.1327,0.1619,0.0500
55,6118.9823,6462.9068,343.9246,2000,0.1393,0.1720,0.0500
56,6462.9068,6815.1741,352.2673,2000,0.1463,0.1761,0.0500
57,6815.1741,7170.9702,355.7961,2000,0.1536,0.1779,0.0500
58,7170.9702,7543.5811,372.6109,2000,0.1613,0.1863,0.0500
59,7543.5811,7934.5591,390.9780,2000,0.1694,0.1955,0.0500
60,7934.5591,8336.5560,401.9969,2000,0.1778,0.2010,0.0500
61,8336.5560,8815.4197,478.8637,2000,0.1867,0.2394,0.0500
62,8815.4197,9261.9812,446.5614,2000,0.1960,0.2233,0.0500
63,9261.9812,9759.0723,497.0911,2000,0.2058,0.2485,0.0500
64,9759.0723,10278.5888,519.5165,2000,0.2161,0.2598,0.0500
65,10278.5888,10835.7976,557.2088,2000,0.2270,0.2786,0.0500
66,10835.7976,11391.9062,556.1086,2000,0.2383,0.2781,0.0500
67,11391.9062,12007.9205,616.0143,2000,0.2502,0.3080,0.0500
68,12007.9205,12601.8581,593.9377,2000,0.2628,0.2970,0.0500
69,12601.8581,13237.7842,635.9260,2000,0.2759,0.3180,0.0500
70,13237.7842,13896.1653,658.3812,2000,0.2897,0.3292,0.0500
71,13896.1653,14557.8847,661.7194,2000,0.3042,0.3309,0.0500
72,14557.8847,15344.6871,786.8024,2000,0.3194,0.3934,0.0500
73,15344.6871,16122.7930,778.1059,2000,0.3353,0.3891,0.0500
74,16122.7930,16982.4719,859.6789,2000,0.3521,0.4298,0.0500
75,16982.4719,17877.6009,895.1290,2000,0.3697,0.4476,0.0500
76,17877.6009,18796.2513,918.6504,2000,0.3882,0.4593,0.0500
77,18796.2513,19774.3260,978.0747,2000,0.4076,0.4890,0.0500
78,19774.3260,20821.4766,1047.1507,2000,0.4280,0.5236,0.0500
79,20821.4766,21868.5884,1047.1117,2000,0.4494,0.5236,0.0500
80,21868.5884,23028.7157,1160.1274,2000,0.4719,0.5801,0.0500
81,23028.7157,24193.5277,1164.8120,2000,0.4955,0.5824,0.0500
82,24193.5277,25323.1937,1129.6660,2000,0.5203,0.5648,0.0500
83,25323.1937,26679.1547,1355.9610,2000,0.5463,0.6780,0.0500
84,26679.1547,28109.7186,1430.5639,2000,0.5736,0.7153,0.0500
85,28109.7186,29582.5463,1472.8277,2000,0.6022,0.7364,0.0500
86,29582.5463,31115.1535,1532.6072,2000,0.6324,0.7663,0.0500
87,31115.1535,32686.2028,1571.0494,2000,0.6640,0.7855,0.0500
88,32686.2028,34326.7202,1640.5174,2000,0.6972,0.8203,0.0500
89,34326.7202,36012.0435,1685.3233,2000,0.7321,0.8427,0.0500
90,36012.0435,37911.3407,1899.2971,2000,0.7687,0.9496,0.0500
91,37911.3407,39883.1646,1971.8240,2000,0.8071,0.9859,0.0500
92,39883.1646,42012.9389,2129.7743,2000,0.8476,1.0649,0.0500
93,42012.9389,44201.4056,2188.4667,2000,0.8900,1.0942,0.0500
94,44201.4056,46308.3029,2106.8972,2000,0.9345,1.0534,0.0500
95,46308.3029,48670.4542,2362.1513,2000,0.9812,1.1811,0.0500
96,48670.4542,51161.8739,2491.4197,2000,1.0302,1.2457,0.0500
97,51161.8739,53691.3772,2529.5033,2000,1.0816,1.2648,0.0500
98,53691.3772,56528.4676,2837.0905,2000,1.1357,1.4185,0.0500
99,56528.4676,59367.4527,2838.9850,2000,1.1924,1.4195,0.0500
100,59367.4527,62361.3465,2993.8938,2000,1.2520,1.4969,0.0500
101,62361.3465,65520.9230,3159.5765,2000,1.3145,1.5798,0.0500
102,65520.9230,68822.5840,3301.6610,2000,1.3802,1.6508,0.0500
103,68822.5840,72193.4106,3370.8266,2000,1.4492,1.6854,0.0500
104,72193.4106,75674.6928,3481.2822,2000,1.5217,1.7406,0.0500
105,75674.6928,79581.2270,3906.5342,2000,1.5978,1.9533,0.0500
106,79581.2270,83822.0451,4240.8181,2000,1.6777,2.1204,0.0500
107,83822.0451,87815.3954,3993.3503,2000,1.7614,1.9967,0.0500
108,87815.3954,91877.2907,4061.8954,2000,1.8496,2.0309,0.0500
109,91877.2907,96066.5464,4189.2557,2000,1.9421,2.0946,0.0500
110,96066.5464,100681.9330,4615.3866,2000,2.0394,2.3077,0.0500
111,100681.9330,105546.8036,4864.8706,2000,2.1414,2.4324,0.0500
112,105546.8036,110624.3456,5077.5419,2000,2.2484,2.5388,0.0500
113,110624.3456,116349.8490,5725.5034,2000,2.3609,2.8628,0.0500
114,116349.8490,122223.2815,5873.4325,2000,2.4789,2.9367,0.0500
115,122223.2815,128504.8385,6281.5570,2000,2.6026,3.1408,0.0500
116,128504.8385,135108.7073,6603.8688,2000,2.7330,3.3019,0.0500
117,135108.7073,142001.4488,6892.7414,2000,2.8694,3.4464,0.0500
118,142001.4488,148855.6657,6854.2169,2000,3.0128,3.4271,0.0500
119,148855.6657,156730.4986,7874.8329,2000,3.1632,3.9374,0.0500
120,156730.4986,164553.7832,7823.2845,2000,3.3213,3.9116,0.0500
121,164553.7832,172908.0315,8354.2483,2000,3.4870,4.1771,0.0500
122,172908.0315,181530.8984,8622.8669,2000,3.6617,4.3114,0.0500
123,181530.8984,190803.7116,9272.8132,2000,3.8444,4.6364,0.0500
124,190803.7116,200939.0220,10135.3103,2000,4.0367,5.0677,0.0500
125,200939.0220,211102.2703,10163.2483,2000,4.2385,5.0816,0.0500
126,211102.2703,221542.6677,10440.3974,2000,4.4504,5.2202,0.0500
127,221542.6677,233090.9275,11548.2598,2000,4.6725,5.7741,0.0500
128,233090.9275,243784.4767,10693.5492,2000,4.9061,5.3468,0.0500
129,243784.4767,256281.2830,12496.8063,2000,5.1514,6.2484,0.0500
130,256281.2830,269163.7516,12882.4685,2000,5.4090,6.4412,0.0500
131,269163.7516,282488.2263,13324.4747,2000,5.6789,6.6622,0.0500
132,282488.2263,297041.3473,14553.1211,2000,5.9628,7.2766,0.0500
133,297041.3473,311922.0851,14880.7377,2000,6.2603,7.4404,0.0500
134,311922.0851,327515.2802,15593.1951,2000,6.5733,7.7966,0.0500
135,327515.2802,344200.9972,16685.7170,2000,6.9020,8.3429,0.0500
136,344200.9972,362101.9825,17900.9853,2000,7.2471,8.9505,0.0500
137,362101.9825,379183.7453,17081.7628,2000,7.6095,8.5409,0.0500
138,379183.7453,397786.1605,18602.4151,2000,7.9899,9.3012,0.0500
139,397786.1605,419479.1805,21693.0201,2000,8.3894,10.8465,-0.0500
140,419479.1805,437468.4337,17989.2532,2000,7.9700,8.9946,0.0500
141,437468.4337,455248.0226,17779.5888,2000,8.3676,8.8898,0.0500
142,455248.0226,475263.4971,20015.4745,2000,8.7869,10.0077,-0.0008
143,475263.4971,496119.9090,20856.4119,2000,8.7792,10.4282,-0.0411
144,496119.9090,516421.9124,20302.0034,2000,8.4187,10.1510,-0.0149
145,516421.9124,536941.5967,20519.6843,2000,8.2935,10.2598,-0.0253
146,536941.5967,556490.7173,19549.1206,2000,8.0842,9.7746,0.0231
147,556490.7173,577886.0676,21395.3503,2000,8.2699,10.6977,-0.0500
148,577886.0676,594982.5627,17096.4951,2000,7.8564,8.5482,0.0500
149,594982.5627,614770.1360,19787.5733,2000,8.2492,9.8938,0.0107
150,614770.1360,634055.1615,19285.0254,2000,8.3378,9.6425,0.0371
151,634055.1615,654502.6382,20447.4767,2000,8.6460,10.2237,-0.0219
152,654502.6382,675231.6733,20729.0351,2000,8.4568,10.3645,-0.0352
153,675231.6733,695260.9788,20029.3055,2000,8.1594,10.0147,-0.0015
154,695260.9788,713899.9329,18638.9541,2000,8.1483,9.3195,0.0500
155,713899.9329,734698.9876,20799.0548,2000,8.5557,10.3995,-0.0384
156,734698.9876,755037.9553,20338.9676,2000,8.2270,10.1695,-0.0167
157,755037.9553,774575.2647,19537.3095,2000,8.0899,9.7687,0.0237
158,774575.2647,795058.9135,20483.6488,2000,8.2823,10.2418,-0.0236
159,795058.9135,814411.9692,19353.0557,2000,8.0867,9.6765,0.0334
160,814411.9692,834240.4773,19828.5081,2000,8.3579,9.9143,0.0086
161,834240.4773,856160.3142,21919.8369,2000,8.4302,10.9599,-0.0500
162,856160.3142,875627.6112,19467.2970,2000,8.0087,9.7336,0.0274
163,875627.6112,894602.8451,18975.2338,2000,8.2278,9.4876,0.0500
164,894602.8451,914162.6061,19559.7611,2000,8.6401,9.7799,0.0225
165,914162.6061,934854.5300,20691.9238,2000,8.8336,10.3460,-0.0334
166,934854.5300,955394.7630,20540.2330,2000,8.5391,10.2701,-0.0263
167,955394.7630,976619.9641,21225.2011,2000,8.3137,10.6126,-0.0500
168,976619.9641,993702.2343,17082.2702,2000,7.8980,8.5411,0.0500
169,993702.2343,1013833.8569,20131.6226,2000,8.2929,10.0658,-0.0065
170,1013833.8569,1033460.6086,19626.7518,2000,8.2387,9.8134,0.0190
171,1033460.6086,1052543.4513,19082.8426,2000,8.3954,9.5414,0.0481
172,1052543.4513,1073759.1067,21215.6555,2000,8.7989,10.6078,-0.0500
173,1073759.1067,1093830.1867,20071.0800,2000,8.3589,10.0355,-0.0035
174,1093830.1867,1113261.9810,19431.7943,2000,8.3293,9.7159,0.0292
175,1113261.9810,1132366.8551,19104.8742,2000,8.5720,9.5524,0.0469
176,1132366.8551,1154281.9486,21915.0935,2000,8.9745,10.9575,-0.0500
177,1154281.9486,1174970.2554,20688.3068,2000,8.5250,10.3442,-0.0333
178,1174970.2554,1193404.0576,18433.8022,2000,8.2422,9.2169,0.0500
179,1193404.0576,1214570.3731,21166.3155,2000,8.6543,10.5832,-0.0500
180,1214570.3731,1234318.6621,19748.2890,2000,8.2216,9.8741,0.0127
181,1234318.6621,1253627.1570,19308.4949,2000,8.3255,9.6542,0.0358
182,1253627.1570,1273382.8869,19755.7299,2000,8.6245,9.8779,0.0124
183,1273382.8869,1294055.5650,20672.6781,2000,8.7312,10.3363,-0.0325
184,1294055.5650,1315409.0095,21353.4445,2000,8.4479,10.6767,-0.0500
185,1315409.0095,1333418.1261,18009.1167,2000,8.0255,9.0046,0.0500
186,1333418.1261,1353856.5827,20438.4566,2000,8.4268,10.2192,-0.0215
187,1353856.5827,1375066.8710,21210.2884,2000,8.2452,10.6051,-0.0500
188,1375066.8710,1393375.2892,18308.4181,2000,7.8337,9.1542,0.0500
189,1393375.2892,1412147.0407,18771.7516,2000,8.2246,9.3859,0.0500
190,1412147.0407,1432561.0536,20414.0128,2000,8.6367,10.2070,-0.0203
191,1432561.0536,1451918.5921,19357.5386,2000,8.4607,9.6788,0.0332
