Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,24.3782,24.3782,2000,0.0100,0.0122,0.0500,10000
2,24.3782,49.2119,24.8337,2000,0.0105,0.0124,0.0500,10000
3,49.2119,74.0833,24.8714,2000,0.0110,0.0124,0.0500,10000
4,74.0833,104.9242,30.8409,2000,0.0116,0.0154,0.0500,10000
5,104.9242,132.9517,28.0275,2000,0.0122,0.0140,0.0500,10000
6,132.9517,164.3673,31.4156,2000,0.0128,0.0157,0.0500,10000
7,164.3673,194.0646,29.6973,2000,0.0134,0.0148,0.0500,10000
8,194.0646,226.2279,32.1633,2000,0.0141,0.0161,0.0500,10000
9,226.2279,261.1509,34.9230,2000,0.0148,0.0175,0.0500,10001
10,261.1509,295.6958,34.5449,2000,0.0155,0.0173,0.0500,10000
11,295.6958,333.4902,37.7944,2000,0.0163,0.0189,0.0500,10000
12,333.4902,374.4519,40.9618,2000,0.0171,0.0205,0.0500,10000
13,374.4519,415.2072,40.7553,2000,0.0180,0.0204,0.0500,10001
14,415.2072,459.0956,43.8884,2000,0.0189,0.0219,0.0500,10001
15,459.0956,505.8140,46.7184,2000,0.0198,0.0234,0.0500,10001
16,505.8140,555.3907,49.5767,2000,0.0208,0.0248,0.0500,10002
17,555.3907,606.9780,51.5873,2000,0.0218,0.0258,0.0500,10003
18,606.9780,660.7308,53.7529,2000,0.0229,0.0269,0.0500,10003
19,660.7308,717.4543,56.7235,2000,0.0241,0.0284,0.0500,10004
20,717.4543,777.4405,59.9862,2000,0.0253,0.0300,0.0500,10003
21,777.4405,842.7490,65.3085,2000,0.0265,0.0327,0.0500,10004
22,842.7490,913.4886,70.7397,2000,0.0278,0.0354,0.0500,10004
23,913.4886,982.8959,69.4073,2000,0.0292,0.0347,0.0500,10005
24,982.8959,1059.7805,76.8846,2000,0.0307,0.0384,0.0500,10005
25,1059.7805,1137.0031,77.2226,2000,0.0322,0.0386,0.0500,10005
26,1137.0031,1218.6279,81.6249,2000,0.0338,0.0408,0.0500,10005
27,1218.6279,1306.9022,88.2743,2000,0.0355,0.0441,0.0500,10006
28,1306.9022,1394.3461,87.4439,2000,0.0373,0.0437,0.0500,10005
29,1394.3461,1483.0268,88.6806,2000,0.0392,0.0443,0.0500,10005
30,1483.0268,1575.4298,92.4030,2000,0.0411,0.0462,0.0500,10004
31,1575.4298,1681.6068,106.1770,2000,0.0432,0.0531,0.0500,10005
32,1681.6068,1789.4460,107.8393,2000,0.0454,0.0539,0.0500,10005
33,1789.4460,1905.6674,116.2214,2000,0.0476,0.0581,0.0500,10005
34,1905.6674,2029.1909,123.5235,2000,0.0500,0.0618,0.0500,10005
35,2029.1909,2156.9987,127.8078,2000,0.0525,0.0639,0.0500,10005
36,2156.9987,2282.7583,125.7597,2000,0.0551,0.0629,0.0500,10005
37,2282.7583,2425.9964,143.2381,2000,0.0579,0.0716,0.0500,10006
38,2425.9964,2568.5494,142.5529,2000,0.0608,0.0713,0.0500,10006
39,2568.5494,2720.1818,151.6324,2000,0.0638,0.0758,0.0500,10007
40,2720.1818,2879.3854,159.2036,2000,0.0670,0.0796,0.0500,10007
41,2879.3854,3043.7268,164.3414,2000,0.0704,0.0822,0.0500,10007
42,3043.7268,3228.1187,184.3919,2000,0.0739,0.0922,0.0500,10007
43,3228.1187,3412.9512,184.8325,2000,0.0776,0.0924,0.0500,10008
44,3412.9512,3605.6529,192.7017,2000,0.0814,0.0964,0.0500,10008
45,3605.6529,3816.1756,210.5226,2000,0.0855,0.1053,0.0500,10009
46,3816.1756,4020.0668,203.8912,2000,0.0898,0.1019,0.0500,10009
47,4020.0668,4219.9644,199.8976,2000,0.0942,0.0999,0.0500,10010
48,4219.9644,4427.8596,207.8952,2000,0.0990,0.1039,0.0500,10009
49,4427.8596,4683.2883,255.4287,2000,0.1039,0.1277,0.0500,10009
50,4683.2883,4939.9655,256.6771,2000,0.1091,0.1283,0.0500,10008
51,4939.9655,5198.2739,258.3085,2000,0.1146,0.1292,0.0500,10008
52,5198.2739,5481.2849,283.0110,2000,0.1203,0.1415,0.0500,10008
53,5481.2849,5793.7715,312.4866,2000,0.1263,0.1562,0.0500,10008
54,5793.7715,6117.7403,323.9688,2000,0.1326,0.1620,0.0500,10008
55,6117.7403,6461.8028,344.0625,2000,0.1393,0.1720,0.0500,10008
56,6461.8028,6813.9479,352.1451,2000,0.1463,0.1761,0.0500,10007
57,6813.9479,7169.6395,355.6916,2000,0.1536,0.1778,0.0500,10008
58,7169.6395,7541.7523,372.1128,2000,0.1612,0.1861,0.0500,10007
59,7541.7523,7932.0763,390.3241,2000,0.1693,0.1952,0.0500,10007
60,7932.0763,8333.6002,401.5239,2000,0.1778,0.2008,0.0500,10006
61,8333.6002,8812.0618,478.4616,2000,0.1867,0.2392,0.0500,10007
62,8812.0618,9258.1717,446.1099,2000,0.1960,0.2231,0.0500,10007
63,9258.1717,9754.6284,496.4567,2000,0.2058,0.2482,0.0500,10008
64,9754.6284,10274.1029,519.4745,2000,0.2161,0.2597,0.0500,10007
65,10274.1029,10831.2411,557.1382,2000,0.2269,0.2786,0.0500,10007
66,10831.2411,11386.8385,555.5974,2000,0.2383,0.2778,0.0500,10006
67,11386.8385,12002.0821,615.2436,2000,0.2501,0.3076,0.0500,10007
68,12002.0821,12595.1523,593.0701,2000,0.2627,0.2965,0.0500,10007
69,12595.1523,13230.0066,634.8543,2000,0.2758,0.3174,0.0500,10008
70,13230.0066,13888.4827,658.4761,2000,0.2896,0.3292,0.0500,10007
71,13888.4827,14550.1828,661.7001,2000,0.3040,0.3309,0.0500,10008
72,14550.1828,15337.1696,786.9868,2000,0.3192,0.3935,0.0500,10008
73,15337.1696,16115.2762,778.1066,2000,0.3352,0.3891,0.0500,10008
74,16115.2762,16975.1278,859.8516,2000,0.3519,0.4299,0.0500,10008
75,16975.1278,17870.4084,895.2807,2000,0.3695,0.4476,0.0500,10008
76,17870.4084,18789.2014,918.7930,2000,0.3880,0.4594,0.0500,10008
77,18789.2014,19767.5218,978.3204,2000,0.4074,0.4892,0.0500,10008
78,19767.5218,20814.9071,1047.3852,2000,0.4278,0.5237,0.0500,10008
79,20814.9071,21862.1847,1047.2777,2000,0.4492,0.5236,0.0500,10008
80,21862.1847,23020.4393,1158.2546,2000,0.4717,0.5791,0.0500,10007
81,23020.4393,24183.5892,1163.1499,2000,0.4952,0.5816,0.0500,10008
82,24183.5892,25312.6334,1129.0443,2000,0.5200,0.5645,0.0500,10007
83,25312.6334,26667.9107,1355.2773,2000,0.5460,0.6776,0.0500,10008
84,26667.9107,28097.8079,1429.8972,2000,0.5733,0.7149,0.0500,10008
85,28097.8079,29570.1063,1472.2984,2000,0.6019,0.7361,0.0500,10009
86,29570.1063,31102.0434,1531.9371,2000,0.6320,0.7660,0.0500,10009
87,31102.0434,32672.0175,1569.9740,2000,0.6635,0.7850,0.0500,10010
88,32672.0175,34311.3853,1639.3679,2000,0.6968,0.8197,0.0500,10009
89,34311.3853,35995.3341,1683.9488,2000,0.7315,0.8420,0.0500,10010
90,35995.3341,37893.2446,1897.9104,2000,0.7681,0.9490,0.0500,10010
91,37893.2446,39863.7902,1970.5457,2000,0.8065,0.9853,0.0500,10010
92,39863.7902,41992.3780,2128.5878,2000,0.8469,1.0643,0.0500,10009
93,41992.3780,44179.3080,2186.9300,2000,0.8892,1.0935,0.0500,10010
94,44179.3080,46285.4399,2106.1318,2000,0.9337,1.0531,0.0500,10009
