Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,24.3782,24.3782,2000,0.0100,0.0122,0.0500,10000
2,24.3782,49.2119,24.8337,2000,0.0105,0.0124,0.0500,10000
3,49.2119,74.0833,24.8714,2000,0.0110,0.0124,0.0500,10000
4,74.0833,104.9292,30.8459,2000,0.0116,0.0154,0.0500,10000
5,104.9292,132.9610,28.0318,2000,0.0122,0.0140,0.0500,10000
6,132.9610,164.3849,31.4238,2000,0.0128,0.0157,0.0500,10000
7,164.3849,194.0855,29.7006,2000,0.0134,0.0149,0.0500,10000
8,194.0855,226.2521,32.1666,2000,0.0141,0.0161,0.0500,10000
9,226.2521,261.1858,34.9337,2000,0.0148,0.0175,0.0500,9999
10,261.1858,295.7424,34.5566,2000,0.0155,0.0173,0.0500,10000
11,295.7424,333.5481,37.8058,2000,0.0163,0.0189,0.0500,10000
12,333.5481,374.5190,40.9708,2000,0.0171,0.0205,0.0500,10000
13,374.5190,415.2886,40.7696,2000,0.0180,0.0204,0.0500,10000
14,415.2886,459.2004,43.9118,2000,0.0189,0.0220,0.0500,10000
15,459.2004,505.9477,46.7473,2000,0.0198,0.0234,0.0500,10000
16,505.9477,555.5472,49.5995,2000,0.0208,0.0248,0.0500,10000
17,555.5472,607.1595,51.6123,2000,0.0218,0.0258,0.0500,10001
18,607.1595,660.9402,53.7807,2000,0.0229,0.0269,0.0500,10000
19,660.9402,717.6814,56.7412,2000,0.0241,0.0284,0.0500,10000
20,717.6814,777.6847,60.0033,2000,0.0253,0.0300,0.0500,10000
21,777.6847,843.0094,65.3247,2000,0.0265,0.0327,0.0500,10000
22,843.0094,913.7814,70.7721,2000,0.0279,0.0354,0.0500,9999
23,913.7814,983.2392,69.4578,2000,0.0293,0.0347,0.0500,9999
24,983.2392,1060.1946,76.9554,2000,0.0307,0.0385,0.0500,9999
25,1060.1946,1137.4864,77.2918,2000,0.0323,0.0386,0.0500,9999
26,1137.4864,1219.1838,81.6973,2000,0.0339,0.0408,0.0500,9998
27,1219.1838,1307.5503,88.3666,2000,0.0356,0.0442,0.0500,9999
28,1307.5503,1395.0722,87.5219,2000,0.0373,0.0438,0.0500,9998
29,1395.0722,1483.7975,88.7253,2000,0.0392,0.0444,0.0500,9999
30,1483.7975,1576.2621,92.4646,2000,0.0412,0.0462,0.0500,9998
31,1576.2621,1682.5375,106.2754,2000,0.0432,0.0531,0.0500,9998
32,1682.5375,1790.4872,107.9497,2000,0.0454,0.0540,0.0500,9997
33,1790.4872,1906.8181,116.3309,2000,0.0477,0.0582,0.0500,9998
34,1906.8181,2030.4596,123.6416,2000,0.0500,0.0618,0.0500,9998
35,2030.4596,2158.3742,127.9145,2000,0.0525,0.0640,0.0500,9999
36,2158.3742,2284.2184,125.8443,2000,0.0552,0.0629,0.0500,9999
37,2284.2184,2427.5980,143.3796,2000,0.0579,0.0717,0.0500,9999
38,2427.5980,2570.2856,142.6876,2000,0.0608,0.0713,0.0500,9999
39,2570.2856,2722.0661,151.7805,2000,0.0639,0.0759,0.0500,9999
40,2722.0661,2881.4592,159.3931,2000,0.0671,0.0797,0.0500,9999
41,2881.4592,3045.9615,164.5023,2000,0.0704,0.0823,0.0500,9999
42,3045.9615,3230.6145,184.6529,2000,0.0739,0.0923,0.0500,9998
43,3230.6145,3415.7227,185.1082,2000,0.0776,0.0926,0.0500,9999
44,3415.7227,3608.7045,192.9819,2000,0.0815,0.0965,0.0500,9998
45,3608.7045,3819.5991,210.8945,2000,0.0856,0.1054,0.0500,9999
46,3819.5991,4023.8240,204.2249,2000,0.0899,0.1021,0.0500,9999
47,4023.8240,4224.0565,200.2325,2000,0.0943,0.1001,0.0500,10000
48,4224.0565,4432.2182,208.1617,2000,0.0991,0.1041,0.0500,10000
49,4432.2182,4687.8863,255.6681,2000,0.1040,0.1278,0.0500,10001
50,4687.8863,4944.6917,256.8054,2000,0.1092,0.1284,0.0500,10000
51,4944.6917,5203.1126,258.4209,2000,0.1147,0.1292,0.0500,10000
52,5203.1126,5486.3290,283.2163,2000,0.1204,0.1416,0.0500,9999
53,5486.3290,5799.0403,312.7114,2000,0.1264,0.1564,0.0500,9999
54,5799.0403,6123.2085,324.1681,2000,0.1328,0.1621,0.0500,9999
55,6123.2085,6467.4676,344.2591,2000,0.1394,0.1721,0.0500,10000
56,6467.4676,6819.9096,352.4420,2000,0.1464,0.1762,0.0500,10000
57,6819.9096,7175.8398,355.9302,2000,0.1537,0.1780,0.0500,10001
58,7175.8398,7548.5307,372.6908,2000,0.1614,0.1863,0.0500,10000
59,7548.5307,7939.5830,391.0523,2000,0.1694,0.1955,0.0500,10000
60,7939.5830,8341.6731,402.0902,2000,0.1779,0.2010,0.0500,10000
61,8341.6731,8820.7750,479.1019,2000,0.1868,0.2396,0.0500,10000
62,8820.7750,9267.6839,446.9089,2000,0.1962,0.2235,0.0500,9999
63,9267.6839,9765.1152,497.4313,2000,0.2060,0.2487,0.0500,9999
64,9765.1152,10284.2450,519.1298,2000,0.2163,0.2596,0.0500,9998
65,10284.2450,10840.9439,556.6988,2000,0.2271,0.2783,0.0500,9999
66,10840.9439,11396.7847,555.8408,2000,0.2384,0.2779,0.0500,9998
67,11396.7847,12012.3339,615.5491,2000,0.2503,0.3078,0.0500,9999
68,12012.3339,12605.7443,593.4105,2000,0.2629,0.2967,0.0500,9998
69,12605.7443,13240.9169,635.1725,2000,0.2760,0.3176,0.0500,9998
70,13240.9169,13899.1250,658.2081,2000,0.2898,0.3291,0.0500,9998
71,13899.1250,14560.6345,661.5096,2000,0.3043,0.3308,0.0500,9999
72,14560.6345,15348.3246,787.6900,2000,0.3195,0.3938,0.0500,9998
73,15348.3246,16127.3683,779.0437,2000,0.3355,0.3895,0.0500,9999
74,16127.3683,16987.9370,860.5687,2000,0.3523,0.4303,0.0500,9999
75,16987.9370,17884.0688,896.1318,2000,0.3698,0.4481,0.0500,10000
76,17884.0688,18803.7622,919.6934,2000,0.3884,0.4598,0.0500,9999
77,18803.7622,19782.9958,979.2336,2000,0.4077,0.4896,0.0500,10000
78,19782.9958,20831.3623,1048.3665,2000,0.4281,0.5242,0.0500,10000
79,20831.3623,21879.6019,1048.2396,2000,0.4495,0.5241,0.0500,10000
80,21879.6019,23040.1557,1160.5538,2000,0.4720,0.5803,0.0500,10000
81,23040.1557,24205.1425,1164.9868,2000,0.4956,0.5825,0.0500,10001
82,24205.1425,25334.9852,1129.8426,2000,0.5204,0.5649,0.0500,10000
83,25334.9852,26691.1250,1356.1398,2000,0.5464,0.6781,0.0500,10000
84,26691.1250,28121.8725,1430.7476,2000,0.5737,0.7154,0.0500,10000
85,28121.8725,29595.0197,1473.1472,2000,0.6024,0.7366,0.0500,10000
86,29595.0197,31127.8603,1532.8405,2000,0.6325,0.7664,0.0500,10000
87,31127.8603,32699.1276,1571.2673,2000,0.6641,0.7856,0.0500,10001
88,32699.1276,34339.8127,1640.6852,2000,0.6973,0.8203,0.0500,10001
89,34339.8127,36025.2395,1685.4267,2000,0.7322,0.8427,0.0500,10001
90,36025.2395,37924.7590,1899.5195,2000,0.7689,0.9498,0.0500,10000
91,37924.7590,39896.9136,1972.1546,2000,0.8073,0.9861,0.0500,10000
92,39896.9136,42023.4189,2126.5053,2000,0.8478,1.0633,0.0500,9999
93,42023.4189,44208.1605,2184.7416,2000,0.8901,1.0924,0.0500,9999
94,44208.1605,46313.4422,2105.2818,2000,0.9346,1.0526,0.0500,9999
