Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,19.7770,19.7770,3000,0.0050,0.0066,0.0500,20000
2,19.7770,37.8511,18.0742,3000,0.0053,0.0060,0.0500,20000
3,37.8511,58.2684,20.4172,3000,0.0055,0.0068,0.0500,20000
4,58.2684,80.1126,21.8442,3000,0.0058,0.0073,0.0500,20000
5,80.1126,102.3311,22.2185,3000,0.0061,0.0074,0.0500,20000
6,102.3311,126.3621,24.0310,3000,0.0064,0.0080,0.0500,20000
7,126.3621,149.8730,23.5109,3000,0.0067,0.0078,0.0500,20000
8,149.8730,175.4362,25.5632,3000,0.0070,0.0085,0.0500,20000
9,175.4362,200.6442,25.2079,3000,0.0074,0.0084,0.0500,20000
10,200.6442,228.2938,27.6496,3000,0.0078,0.0092,0.0500,20000
11,228.2938,258.3093,30.0155,3000,0.0081,0.0100,0.0500,20000
12,258.3093,288.0888,29.7796,3000,0.0086,0.0099,0.0500,20000
13,288.0888,320.4283,32.3394,3000,0.0090,0.0108,0.0500,20000
14,320.4283,356.0922,35.6639,3000,0.0094,0.0119,0.0500,20000
15,356.0922,393.8730,37.7808,3000,0.0099,0.0126,0.0500,20000
16,393.8730,434.3703,40.4973,3000,0.0104,0.0135,0.0500,20000
17,434.3703,474.7471,40.3768,3000,0.0109,0.0135,0.0500,20000
18,474.7471,517.3158,42.5687,3000,0.0115,0.0142,0.0500,20000
19,517.3158,560.9743,43.6585,3000,0.0120,0.0146,0.0500,20000
20,560.9743,604.3187,43.3443,3000,0.0126,0.0144,0.0500,20000
21,604.3187,654.6605,50.3418,3000,0.0133,0.0168,0.0500,20000
22,654.6605,708.0536,53.3931,3000,0.0139,0.0178,0.0500,20000
23,708.0536,763.8687,55.8151,3000,0.0146,0.0186,0.0500,20000
24,763.8687,820.4708,56.6021,3000,0.0154,0.0189,0.0500,20000
25,820.4708,879.0700,58.5992,3000,0.0161,0.0195,0.0500,20000
26,879.0700,940.7743,61.7043,3000,0.0169,0.0206,0.0500,20000
27,940.7743,1011.1914,70.4171,3000,0.0178,0.0235,0.0500,20000
28,1011.1914,1081.7082,70.5168,3000,0.0187,0.0235,0.0500,20000
29,1081.7082,1158.8946,77.1864,3000,0.0196,0.0257,0.0500,20000
30,1158.8946,1232.9380,74.0434,3000,0.0206,0.0247,0.0500,20000
31,1232.9380,1311.5241,78.5862,3000,0.0216,0.0262,0.0500,20000
32,1311.5241,1383.6245,72.1004,3000,0.0227,0.0240,0.0500,20000
33,1383.6245,1474.0927,90.4682,3000,0.0238,0.0302,0.0500,20000
34,1474.0927,1563.5379,89.4452,3000,0.0250,0.0298,0.0500,20000
35,1563.5379,1658.2436,94.7057,3000,0.0263,0.0316,0.0500,20000
36,1658.2436,1766.8042,108.5607,3000,0.0276,0.0362,0.0500,20000
37,1766.8042,1872.3483,105.5441,3000,0.0290,0.0352,0.0500,20000
38,1872.3483,1979.1997,106.8514,3000,0.0304,0.0356,0.0500,20000
39,1979.1997,2092.8758,113.6760,3000,0.0319,0.0379,0.0500,20000
40,2092.8758,2207.8005,114.9247,3000,0.0335,0.0383,0.0500,20000
41,2207.8005,2338.0924,130.2919,3000,0.0352,0.0434,0.0500,20000
42,2338.0924,2473.8376,135.7452,3000,0.0370,0.0452,0.0500,20000
43,2473.8376,2615.6397,141.8021,3000,0.0388,0.0473,0.0500,20000
44,2615.6397,2760.3632,144.7235,3000,0.0407,0.0482,0.0500,20000
45,2760.3632,2917.3378,156.9746,3000,0.0428,0.0523,0.0500,20000
46,2917.3378,3077.7264,160.3886,3000,0.0449,0.0535,0.0500,20000
47,3077.7264,3247.3300,169.6036,3000,0.0472,0.0565,0.0500,20000
48,3247.3300,3426.7211,179.3911,3000,0.0495,0.0598,0.0500,20000
49,3426.7211,3616.9634,190.2423,3000,0.0520,0.0634,0.0500,20000
50,3616.9634,3821.9819,205.0185,3000,0.0546,0.0683,0.0500,20000
51,3821.9819,4029.1026,207.1207,3000,0.0573,0.0690,0.0500,20000
52,4029.1026,4263.9021,234.7995,3000,0.0602,0.0783,0.0500,20000
53,4263.9021,4494.5100,230.6079,3000,0.0632,0.0769,0.0500,20000
54,4494.5100,4746.2376,251.7276,3000,0.0664,0.0839,0.0500,20000
55,4746.2376,4996.0977,249.8601,3000,0.0697,0.0833,0.0500,20000
56,4996.0977,5280.0452,283.9475,3000,0.0732,0.0946,0.0500,20000
57,5280.0452,5561.8702,281.8250,3000,0.0768,0.0939,0.0500,20000
58,5561.8702,5860.4334,298.5632,3000,0.0807,0.0995,0.0500,20000
59,5860.4334,6171.9238,311.4904,3000,0.0847,0.1038,0.0500,20000
60,6171.9238,6499.8299,327.9061,3000,0.0889,0.1093,0.0500,20000
61,6499.8299,6854.7453,354.9154,3000,0.0934,0.1183,0.0500,20000
62,6854.7453,7227.7301,372.9848,3000,0.0981,0.1243,0.0500,20000
63,7227.7301,7587.3825,359.6524,3000,0.1030,0.1199,0.0500,20000
64,7587.3825,8006.7553,419.3729,3000,0.1081,0.1398,0.0500,20000
65,8006.7553,8451.3519,444.5966,3000,0.1135,0.1482,0.0500,20000
66,8451.3519,8909.1369,457.7850,3000,0.1192,0.1526,0.0500,20000
67,8909.1369,9353.7587,444.6217,3000,0.1252,0.1482,0.0500,20000
68,9353.7587,9827.9660,474.2074,3000,0.1314,0.1581,0.0500,20000
69,9827.9660,10348.2611,520.2950,3000,0.1380,0.1734,0.0500,20000
70,10348.2611,10903.4403,555.1792,3000,0.1449,0.1851,0.0500,20000
71,10903.4403,11484.1091,580.6688,3000,0.1521,0.1936,0.0500,20000
72,11484.1091,12025.4622,541.3531,3000,0.1597,0.1805,0.0500,20000
73,12025.4622,12613.7028,588.2406,3000,0.1677,0.1961,0.0500,20000
74,12613.7028,13240.3367,626.6339,3000,0.1761,0.2089,0.0500,20000
75,13240.3367,13891.8220,651.4853,3000,0.1849,0.2172,0.0500,20000
76,13891.8220,14632.0678,740.2457,3000,0.1942,0.2467,0.0500,20000
77,14632.0678,15361.3392,729.2714,3000,0.2039,0.2431,0.0500,20000
78,15361.3392,16176.6397,815.3005,3000,0.2141,0.2718,0.0500,20000
79,16176.6397,16968.0814,791.4417,3000,0.2248,0.2638,0.0500,20000
80,16968.0814,17879.1350,911.0536,3000,0.2360,0.3037,0.0500,20000
81,17879.1350,18799.4970,920.3619,3000,0.2478,0.3068,0.0500,20000
82,18799.4970,19755.3727,955.8757,3000,0.2602,0.3186,0.0500,20000
83,19755.3727,20832.1523,1076.7796,3000,0.2732,0.3589,0.0500,20000
84,20832.1523,21837.4465,1005.2942,3000,0.2869,0.3351,0.0500,20000
85,21837.4465,22942.9790,1105.5325,3000,0.3012,0.3685,0.0500,20000
86,22942.9790,24077.3813,1134.4023,3000,0.3163,0.3781,0.0500,20000
87,24077.3813,25309.8684,1232.4870,3000,0.3321,0.4108,0.0500,20000
88,25309.8684,26545.6577,1235.7893,3000,0.3487,0.4119,0.0500,20000
89,26545.6577,27875.5261,1329.8684,3000,0.3661,0.4433,0.0500,20000
90,27875.5261,29282.6216,1407.0955,3000,0.3844,0.4690,0.0500,20000
91,29282.6216,30753.6710,1471.0494,3000,0.4037,0.4903,0.0500,20000
92,30753.6710,32236.9691,1483.2981,3000,0.4238,0.4944,0.0500,20000
93,32236.9691,33962.1240,1725.1548,3000,0.4450,0.5751,0.0500,20000
94,33962.1240,35534.5188,1572.3949,3000,0.4673,0.5241,0.0500,20000
95,35534.5188,37221.3067,1686.7879,3000,0.4906,0.5623,0.0500,20000
96,37221.3067,39147.2107,1925.9040,3000,0.5152,0.6420,0.0500,20000
97,39147.2107,41139.1621,1991.9514,3000,0.5409,0.6640,0.0500,20000
98,41139.1621,43464.7817,2325.6196,3000,0.5680,0.7752,0.0500,20000
99,43464.7817,45494.0763,2029.2946,3000,0.5964,0.6764,0.0500,20000
100,45494.0763,47779.1613,2285.0850,3000,0.6262,0.7617,0.0500,20000
101,47779.1613,50127.3678,2348.2065,3000,0.6575,0.7827,0.0500,20000
102,50127.3678,52836.9214,2709.5536,3000,0.6904,0.9032,0.0500,20000
103,52836.9214,55469.8989,2632.9775,3000,0.7249,0.8777,0.0500,20000
104,55469.8989,58269.5460,2799.6471,3000,0.7611,0.9332,0.0500,20000
