Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,19776.9824,19776.9824,3000,5.0000,6.5923,0.5000,20
2,19776.9824,45597.2182,25820.2358,3000,7.5000,8.6067,0.1619,20
3,45597.2182,77872.5246,32275.3064,3000,8.7141,10.7584,-0.0705,20
4,77872.5246,108440.8614,30568.3368,3000,8.0998,10.1894,-0.0186,20
5,108440.8614,137501.8541,29060.9927,3000,7.9492,9.6870,0.0323,20
6,137501.8541,168403.9980,30902.1438,3000,8.2060,10.3007,-0.0292,20
7,168403.9980,196357.0303,27953.0324,3000,7.9665,9.3177,0.0732,20
8,196357.0303,227422.6047,31065.5744,3000,8.5498,10.3552,-0.0343,20
9,227422.6047,255596.9208,28174.3161,3000,8.2566,9.3914,0.0648,20
10,255596.9208,286935.8274,31338.9066,3000,8.7916,10.4463,-0.0427,20
11,286935.8274,317951.9837,31016.1564,3000,8.4160,10.3387,-0.0328,20
12,317951.9837,346298.8389,28346.8551,3000,8.1403,9.4490,0.0583,20
13,346298.8389,377326.2949,31027.4560,3000,8.6150,10.3425,-0.0331,20
14,377326.2949,408834.8323,31508.5375,3000,8.3297,10.5028,-0.0479,20
15,408834.8323,439102.1932,30267.3609,3000,7.9309,10.0891,-0.0088,20
16,439102.1932,469727.9140,30625.7208,3000,7.8609,10.2086,-0.0204,20
17,469727.9140,498214.3322,28486.4182,3000,7.7003,9.4955,0.0531,20
18,498214.3322,528336.8391,30122.5069,3000,8.1094,10.0408,-0.0041,20
19,528336.8391,557639.7237,29302.8846,3000,8.0764,9.7676,0.0238,20
20,557639.7237,586005.5264,28365.8027,3000,8.2686,9.4553,0.0576,20
21,586005.5264,619189.4723,33183.9459,3000,8.7449,11.0613,-0.0959,20
22,619189.4723,649492.6925,30303.2202,3000,7.9059,10.1011,-0.0100,20
23,649492.6925,679360.1789,29867.4865,3000,7.8267,9.9558,0.0044,20
24,679360.1789,708334.4396,28974.2606,3000,7.8615,9.6581,0.0354,20
25,708334.4396,737913.9512,29579.5117,3000,8.1398,9.8598,0.0142,20
26,737913.9512,767999.3583,30085.4071,3000,8.2555,10.0285,-0.0028,20
27,767999.3583,800605.1558,32605.7975,3000,8.2321,10.8686,-0.0799,20
28,800605.1558,829217.0254,28611.8695,3000,7.5742,9.5373,0.0485,20
29,829217.0254,860490.8038,31273.7784,3000,7.9416,10.4246,-0.0407,20
30,860490.8038,887898.7973,27407.9935,3000,7.6182,9.1360,0.0946,20
31,887898.7973,918223.1700,30324.3727,3000,8.3386,10.1081,-0.0107,20
32,918223.1700,944436.5865,26213.4165,3000,8.2494,8.7378,0.1445,20
33,944436.5865,980286.6487,35850.0622,3000,9.4411,11.9500,-0.1632,20
