Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,5.0794,5.0794,3000,0.0010,0.0017,0.0500,100000
2,5.0794,10.1231,5.0437,3000,0.0011,0.0017,0.0500,100000
3,10.1231,15.6026,5.4795,3000,0.0011,0.0018,0.0500,100000
4,15.6026,20.7393,5.1367,3000,0.0012,0.0017,0.0500,100000
5,20.7393,26.2236,5.4843,3000,0.0012,0.0018,0.0500,100000
6,26.2236,32.7920,6.5684,3000,0.0013,0.0022,0.0500,100000
7,32.7920,38.8403,6.0483,3000,0.0013,0.0020,0.0500,100000
8,38.8403,44.8960,6.0558,3000,0.0014,0.0020,0.0500,100000
9,44.8960,51.0102,6.1142,3000,0.0015,0.0020,0.0500,100000
10,51.0102,58.2207,7.2105,3000,0.0016,0.0024,0.0500,100000
11,58.2207,66.2705,8.0498,3000,0.0016,0.0027,0.0500,100000
12,66.2705,73.3422,7.0717,3000,0.0017,0.0024,0.0500,100000
13,73.3422,81.7900,8.4477,3000,0.0018,0.0028,0.0500,100000
14,81.7900,91.0189,9.2289,3000,0.0019,0.0031,0.0500,100000
15,91.0189,101.0459,10.0270,3000,0.0020,0.0033,0.0500,100000
16,101.0459,110.5494,9.5034,3000,0.0021,0.0032,0.0500,100000
17,110.5494,120.2319,9.6825,3000,0.0022,0.0032,0.0500,100000
18,120.2319,132.1540,11.9221,3000,0.0023,0.0040,0.0500,100000
19,132.1540,143.5965,11.4425,3000,0.0024,0.0038,0.0500,100000
20,143.5965,154.4491,10.8526,3000,0.0025,0.0036,0.0500,100000
21,154.4491,167.7698,13.3207,3000,0.0027,0.0044,0.0500,100000
22,167.7698,181.7077,13.9379,3000,0.0028,0.0046,0.0500,100000
23,181.7077,197.4439,15.7362,3000,0.0029,0.0052,0.0500,100000
24,197.4439,211.5572,14.1132,3000,0.0031,0.0047,0.0500,100000
25,211.5572,227.7850,16.2278,3000,0.0032,0.0054,0.0500,100000
26,227.7850,243.1918,15.4068,3000,0.0034,0.0051,0.0500,100000
27,243.1918,261.9723,18.7805,3000,0.0036,0.0063,0.0500,100000
28,261.9723,280.5856,18.6133,3000,0.0037,0.0062,0.0500,100000
29,280.5856,303.6226,23.0370,3000,0.0039,0.0077,0.0500,100000
30,303.6226,323.7425,20.1199,3000,0.0041,0.0067,0.0500,100000
31,323.7425,343.0619,19.3195,3000,0.0043,0.0064,0.0500,100000
32,343.0619,360.1604,17.0984,3000,0.0045,0.0057,0.0500,100000
33,360.1604,382.5618,22.4015,3000,0.0048,0.0075,0.0500,100000
34,382.5618,404.4499,21.8881,3000,0.0050,0.0073,0.0500,100000
35,404.4499,426.0121,21.5621,3000,0.0053,0.0072,0.0500,100000
36,426.0121,451.6962,25.6841,3000,0.0055,0.0086,0.0500,100000
37,451.6962,479.4891,27.7929,3000,0.0058,0.0093,0.0500,100000
38,479.4891,505.6802,26.1911,3000,0.0061,0.0087,0.0500,100000
39,505.6802,533.2642,27.5840,3000,0.0064,0.0092,0.0500,100000
40,533.2642,563.0151,29.7509,3000,0.0067,0.0099,0.0500,100000
41,563.0151,598.6282,35.6131,3000,0.0070,0.0119,0.0500,100000
42,598.6282,633.4115,34.7833,3000,0.0074,0.0116,0.0500,100000
43,633.4115,668.6158,35.2043,3000,0.0078,0.0117,0.0500,100000
44,668.6158,707.0137,38.3979,3000,0.0081,0.0128,0.0500,100000
45,707.0137,748.4935,41.4799,3000,0.0086,0.0138,0.0500,100000
46,748.4935,793.7768,45.2832,3000,0.0090,0.0151,0.0500,100000
