Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,3063.5485,3063.5485,500,5.0000,6.1271,0.0500,20
2,3063.5485,6481.1257,3417.5772,500,5.2500,6.8352,0.0500,20
3,6481.1257,10226.1274,3745.0017,500,5.5125,7.4900,0.0500,20
4,10226.1274,13593.0676,3366.9403,500,5.7881,6.7339,0.0500,20
5,13593.0676,18433.1588,4840.0912,500,6.0775,9.6802,0.0330,20
6,18433.1588,22415.2819,3982.1231,500,6.2783,7.9642,0.0500,20
7,22415.2819,25993.7505,3578.4686,500,6.5922,7.1569,0.0500,20
8,25993.7505,30033.5450,4039.7945,500,6.9219,8.0796,0.0500,20
9,30033.5450,34551.6251,4518.0801,500,7.2679,9.0362,0.0500,20
10,34551.6251,39255.6661,4704.0410,500,7.6313,9.4081,0.0500,20
11,39255.6661,43377.0569,4121.3908,500,8.0129,8.2428,0.0500,20
12,43377.0569,48120.9441,4743.8873,500,8.4136,9.4878,0.0500,20
13,48120.9441,53990.7653,5869.8212,500,8.8342,11.7396,-0.0500,20
14,53990.7653,58933.6540,4942.8886,500,8.3925,9.8858,0.0116,20
15,58933.6540,65275.2862,6341.6323,500,8.4895,12.6833,-0.0500,20
16,65275.2862,70458.7924,5183.5061,500,8.0650,10.3670,-0.0354,20
17,70458.7924,74431.4326,3972.6402,500,7.7795,7.9453,0.0500,20
18,74431.4326,78924.3541,4492.9215,500,8.1685,8.9858,0.0500,20
19,78924.3541,84465.1027,5540.7486,500,8.5769,11.0815,-0.0500,20
20,84465.1027,89822.8415,5357.7388,500,8.1481,10.7155,-0.0500,20
21,89822.8415,94892.9689,5070.1274,500,7.7406,10.1403,-0.0138,20
22,94892.9689,99345.8765,4452.9075,500,7.6336,8.9058,0.0500,20
23,99345.8765,104128.3137,4782.4372,500,8.0153,9.5649,0.0455,20
24,104128.3137,109453.0361,5324.7225,500,8.3799,10.6494,-0.0500,20
25,109453.0361,113688.8856,4235.8495,500,7.9609,8.4717,0.0500,20
26,113688.8856,118847.8357,5158.9500,500,8.3589,10.3179,-0.0308,20
27,118847.8357,124496.2474,5648.4118,500,8.1014,11.2968,-0.0500,20
28,124496.2474,128878.5848,4382.3374,500,7.6963,8.7647,0.0500,20
29,128878.5848,134385.7998,5507.2150,500,8.0811,11.0144,-0.0500,20
30,134385.7998,138673.2737,4287.4738,500,7.6771,8.5749,0.0500,20
31,138673.2737,144077.0600,5403.7863,500,8.0609,10.8076,-0.0500,20
32,144077.0600,148636.7934,4559.7334,500,7.6579,9.1195,0.0500,20
33,148636.7934,154041.5588,5404.7654,500,8.0408,10.8095,-0.0500,20
34,154041.5588,159675.0163,5633.4575,500,7.6388,11.2669,-0.0500,20
35,159675.0163,163945.6443,4270.6280,500,7.2568,8.5413,0.0500,20
36,163945.6443,167769.4543,3823.8100,500,7.6197,7.6476,0.0500,20
37,167769.4543,172697.3427,4927.8885,500,8.0006,9.8558,0.0146,20
38,172697.3427,177593.1059,4895.7632,500,8.1177,9.7915,0.0213,20
39,177593.1059,181872.3158,4279.2099,500,8.2905,8.5584,0.0500,20
40,181872.3158,186121.8396,4249.5237,500,8.7051,8.4990,0.0500,20
41,186121.8396,191568.6963,5446.8567,500,9.1403,10.8937,-0.0500,20
42,191568.6963,197556.4062,5987.7099,500,8.6833,11.9754,-0.0500,20
43,197556.4062,202666.2696,5109.8634,500,8.2491,10.2197,-0.0215,20
44,202666.2696,206726.2082,4059.9386,500,8.0718,8.1199,0.0500,20
45,206726.2082,213433.3788,6707.1706,500,8.4754,13.4143,-0.0500,20
46,213433.3788,218421.8784,4988.4996,500,8.0516,9.9770,0.0023,20
47,218421.8784,222956.4258,4534.5475,500,8.0702,9.0691,0.0500,20
48,222956.4258,227517.1188,4560.6930,500,8.4737,9.1214,0.0500,20
49,227517.1188,232426.9581,4909.8393,500,8.8974,9.8197,0.0184,20
50,232426.9581,237577.8397,5150.8816,500,9.0608,10.3018,-0.0293,20
51,237577.8397,242769.8130,5191.9734,500,8.7953,10.3839,-0.0370,20
52,242769.8130,247649.5601,4879.7470,500,8.4701,9.7595,0.0246,20
53,247649.5601,252776.7829,5127.2229,500,8.6789,10.2544,-0.0248,20
54,252776.7829,257303.4036,4526.6207,500,8.4635,9.0532,0.0500,20
55,257303.4036,262165.9931,4862.5895,500,8.8867,9.7252,0.0283,20
56,262165.9931,267963.4141,5797.4210,500,9.1378,11.5948,-0.0500,20
57,267963.4141,273102.2271,5138.8130,500,8.6809,10.2776,-0.0270,20
58,273102.2271,278171.1186,5068.8915,500,8.4464,10.1378,-0.0136,20
59,278171.1186,283166.4680,4995.3495,500,8.3316,9.9907,0.0009,20
60,283166.4680,288098.1134,4931.6454,500,8.3394,9.8633,0.0139,20
61,288098.1134,292739.6563,4641.5429,500,8.4550,9.2831,0.0500,20
62,292739.6563,297654.3267,4914.6704,500,8.8777,9.8293,0.0174,20
63,297654.3267,304552.6938,6898.3671,500,9.0319,13.7967,-0.0500,20
