Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,37.5702,37.5702,3000,0.0100,0.0125,0.0500,10000
2,37.5702,72.2394,34.6692,3000,0.0105,0.0116,0.0500,10000
3,72.2394,113.2605,41.0211,3000,0.0110,0.0137,0.0500,10000
4,113.2605,156.2243,42.9638,3000,0.0116,0.0143,0.0500,9999
5,156.2243,196.5778,40.3536,3000,0.0122,0.0135,0.0500,9999
6,196.5778,241.8569,45.2790,3000,0.0128,0.0151,0.0500,9999
7,241.8569,288.0545,46.1976,3000,0.0134,0.0154,0.0500,9999
8,288.0545,337.2810,49.2266,3000,0.0141,0.0164,0.0500,9999
9,337.2810,387.6527,50.3717,3000,0.0148,0.0168,0.0500,9999
10,387.6527,442.7206,55.0678,3000,0.0155,0.0184,0.0500,9998
11,442.7206,500.6507,57.9301,3000,0.0163,0.0193,0.0500,9999
12,500.6507,561.0516,60.4010,3000,0.0171,0.0201,0.0500,9998
13,561.0516,625.4076,64.3559,3000,0.0180,0.0215,0.0500,9999
14,625.4076,693.5359,68.1283,3000,0.0189,0.0227,0.0500,9999
15,693.5359,766.7475,73.2116,3000,0.0198,0.0244,0.0500,9999
16,766.7475,844.1321,77.3846,3000,0.0208,0.0258,0.0500,9999
17,844.1321,922.3533,78.2212,3000,0.0218,0.0261,0.0500,9999
18,922.3533,1007.3786,85.0253,3000,0.0229,0.0283,0.0500,9999
19,1007.3786,1090.6084,83.2298,3000,0.0241,0.0277,0.0500,9999
20,1090.6084,1176.4406,85.8322,3000,0.0253,0.0286,0.0500,9998
21,1176.4406,1274.8038,98.3631,3000,0.0265,0.0328,0.0500,9998
22,1274.8038,1374.3077,99.5040,3000,0.0279,0.0332,0.0500,9998
23,1374.3077,1481.3245,107.0167,3000,0.0293,0.0357,0.0500,9999
24,1481.3245,1589.6976,108.3731,3000,0.0307,0.0361,0.0500,9999
25,1589.6976,1709.0040,119.3064,3000,0.0323,0.0398,0.0500,9999
26,1709.0040,1827.5012,118.4972,3000,0.0339,0.0395,0.0500,9999
27,1827.5012,1953.1334,125.6322,3000,0.0356,0.0419,0.0500,10000
28,1953.1334,2090.4225,137.2890,3000,0.0373,0.0458,0.0500,10000
29,2090.4225,2230.3549,139.9324,3000,0.0392,0.0466,0.0500,10001
30,2230.3549,2380.3395,149.9846,3000,0.0412,0.0500,0.0500,10001
31,2380.3395,2525.5516,145.2120,3000,0.0432,0.0484,0.0500,10001
