Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,37.5702,37.5702,3000,0.0100,0.0125,0.0500,10000
2,37.5702,72.2394,34.6692,3000,0.0105,0.0116,0.0500,10000
3,72.2394,113.2605,41.0211,3000,0.0110,0.0137,0.0500,10000
4,113.2605,156.2293,42.9688,3000,0.0116,0.0143,0.0500,9999
5,156.2293,196.5934,40.3641,3000,0.0122,0.0135,0.0500,9999
6,196.5934,241.8834,45.2900,3000,0.0128,0.0151,0.0500,9999
7,241.8834,288.0305,46.1471,3000,0.0134,0.0154,0.0500,9999
8,288.0305,337.1710,49.1405,3000,0.0141,0.0164,0.0500,9999
9,337.1710,387.4639,50.2929,3000,0.0148,0.0168,0.0500,9999
10,387.4639,442.5448,55.0809,3000,0.0155,0.0184,0.0500,9998
11,442.5448,500.5673,58.0225,3000,0.0163,0.0193,0.0500,9999
12,500.5673,561.0588,60.4914,3000,0.0171,0.0202,0.0500,9998
13,561.0588,625.4158,64.3571,3000,0.0180,0.0215,0.0500,9999
14,625.4158,693.5431,68.1272,3000,0.0189,0.0227,0.0500,9999
15,693.5431,766.7504,73.2073,3000,0.0198,0.0244,0.0500,9999
16,766.7504,844.1303,77.3799,3000,0.0208,0.0258,0.0500,9999
17,844.1303,922.3428,78.2126,3000,0.0218,0.0261,0.0500,9999
18,922.3428,1007.3670,85.0241,3000,0.0229,0.0283,0.0500,9999
19,1007.3670,1090.5729,83.2060,3000,0.0241,0.0277,0.0500,9999
20,1090.5729,1176.4030,85.8301,3000,0.0253,0.0286,0.0500,9998
21,1176.4030,1274.7823,98.3793,3000,0.0265,0.0328,0.0500,9998
22,1274.7823,1374.3127,99.5303,3000,0.0279,0.0332,0.0500,9998
23,1374.3127,1481.3613,107.0487,3000,0.0293,0.0357,0.0500,9999
24,1481.3613,1589.7752,108.4139,3000,0.0307,0.0361,0.0500,9999
25,1589.7752,1709.1248,119.3495,3000,0.0323,0.0398,0.0500,9999
26,1709.1248,1827.6630,118.5382,3000,0.0339,0.0395,0.0500,9999
27,1827.6630,1953.3251,125.6621,3000,0.0356,0.0419,0.0500,10000
28,1953.3251,2090.6608,137.3357,3000,0.0373,0.0458,0.0500,10000
29,2090.6608,2230.6528,139.9920,3000,0.0392,0.0467,0.0500,10001
30,2230.6528,2380.6886,150.0358,3000,0.0412,0.0500,0.0500,10001
31,2380.6886,2525.9580,145.2693,3000,0.0432,0.0484,0.0500,10001
