Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,375.7016,375.7016,3000,0.1000,0.1252,0.5000,10000
2,375.7016,870.9762,495.2746,3000,0.1500,0.1651,0.5000,10000
3,870.9762,1708.1410,837.1648,3000,0.2250,0.2791,0.5000,10000
4,1708.1410,2960.5213,1252.3804,3000,0.3375,0.4175,0.5000,10000
5,2960.5213,4640.8297,1680.3084,3000,0.5063,0.5601,0.5000,10000
6,4640.8297,7334.0441,2693.2144,3000,0.7594,0.8977,0.5000,10000
7,7334.0441,11259.0162,3924.9720,3000,1.1391,1.3083,0.5000,10000
8,11259.0162,17232.7619,5973.7457,3000,1.7086,1.9912,0.5000,10000
9,17232.7619,25966.3886,8733.6267,3000,2.5629,2.9112,0.5000,10000
10,25966.3886,39615.9772,13649.5886,3000,3.8443,4.5499,0.5000,10000
11,39615.9772,60146.1778,20530.2007,3000,5.7665,6.8434,0.4613,10000
12,60146.1778,89934.0552,29787.8773,3000,8.4264,9.9293,0.0071,10000
13,89934.0552,120336.1178,30402.0627,3000,8.4864,10.1340,-0.0132,10000
14,120336.1178,150581.9456,30245.8277,3000,8.3741,10.0819,-0.0081,10000
15,150581.9456,181284.6474,30702.7018,3000,8.3061,10.2342,-0.0229,10000
16,181284.6474,211484.4616,30199.8142,3000,8.1160,10.0666,-0.0066,10000
17,211484.4616,240364.2618,28879.8002,3000,8.0623,9.6266,0.0388,10000
18,240364.2618,271423.5699,31059.3080,3000,8.3750,10.3531,-0.0341,10000
19,271423.5699,299389.0931,27965.5233,3000,8.0894,9.3218,0.0727,10000
20,299389.0931,328852.1411,29463.0480,3000,8.6779,9.8210,0.0182,10000
21,328852.1411,361595.1513,32743.0102,3000,8.8360,10.9143,-0.0838,10000
22,361595.1513,390501.9845,28906.8332,3000,8.0958,9.6356,0.0378,10000
23,390501.9845,421234.2838,30732.2993,3000,8.4019,10.2441,-0.0238,10000
24,421234.2838,450169.1494,28934.8656,3000,8.2017,9.6450,0.0368,10000
25,450169.1494,481624.0238,31454.8744,3000,8.5037,10.4850,-0.0463,10000
