Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,0.0376,0.0376,3000,0.0000,0.0000,0.0500,100000000
2,0.0376,0.0722,0.0347,3000,0.0000,0.0000,0.0500,100000000
3,0.0722,0.1133,0.0410,3000,0.0000,0.0000,0.0500,100000000
4,0.1133,0.1562,0.0430,3000,0.0000,0.0000,0.0500,100000000
5,0.1562,0.1966,0.0403,3000,0.0000,0.0000,0.0500,100000000
6,0.1966,0.2418,0.0453,3000,0.0000,0.0000,0.0500,100000000
7,0.2418,0.2880,0.0462,3000,0.0000,0.0000,0.0500,100000000
8,0.2880,0.3372,0.0492,3000,0.0000,0.0000,0.0500,100000000
9,0.3372,0.3875,0.0503,3000,0.0000,0.0000,0.0500,100000000
10,0.3875,0.4426,0.0551,3000,0.0000,0.0000,0.0500,100000000
11,0.4426,0.5006,0.0580,3000,0.0000,0.0000,0.0500,100000000
12,0.5006,0.5611,0.0605,3000,0.0000,0.0000,0.0500,100000000
13,0.5611,0.6254,0.0643,3000,0.0000,0.0000,0.0500,100000000
14,0.6254,0.6935,0.0681,3000,0.0000,0.0000,0.0500,100000000
15,0.6935,0.7667,0.0732,3000,0.0000,0.0000,0.0500,100000000
16,0.7667,0.8441,0.0774,3000,0.0000,0.0000,0.0500,100000000
17,0.8441,0.9223,0.0782,3000,0.0000,0.0000,0.0500,100000000
18,0.9223,1.0073,0.0850,3000,0.0000,0.0000,0.0500,100000000
19,1.0073,1.0905,0.0832,3000,0.0000,0.0000,0.0500,100000000
20,1.0905,1.1763,0.0858,3000,0.0000,0.0000,0.0500,100000000
21,1.1763,1.2746,0.0983,3000,0.0000,0.0000,0.0500,100000000
22,1.2746,1.3741,0.0995,3000,0.0000,0.0000,0.0500,100000000
23,1.3741,1.4811,0.1070,3000,0.0000,0.0000,0.0500,100000000
24,1.4811,1.5894,0.1084,3000,0.0000,0.0000,0.0500,100000000
25,1.5894,1.7087,0.1193,3000,0.0000,0.0000,0.0500,100000000
26,1.7087,1.8272,0.1185,3000,0.0000,0.0000,0.0500,100000000
27,1.8272,1.9528,0.1256,3000,0.0000,0.0000,0.0500,100000000
28,1.9528,2.0901,0.1373,3000,0.0000,0.0000,0.0500,100000000
29,2.0901,2.2300,0.1399,3000,0.0000,0.0000,0.0500,100000000
30,2.2300,2.3800,0.1500,3000,0.0000,0.0000,0.0500,100000000
31,2.3800,2.5252,0.1452,3000,0.0000,0.0000,0.0500,100000000
32,2.5252,2.6675,0.1422,3000,0.0000,0.0000,0.0500,100000000
33,2.6675,2.8387,0.1712,3000,0.0000,0.0001,0.0500,100000000
34,2.8387,3.0122,0.1735,3000,0.0001,0.0001,0.0500,100000000
35,3.0122,3.2040,0.1918,3000,0.0001,0.0001,0.0500,100000000
36,3.2040,3.4034,0.1994,3000,0.0001,0.0001,0.0500,100000000
37,3.4034,3.6174,0.2140,3000,0.0001,0.0001,0.0500,100000000
38,3.6174,3.8302,0.2128,3000,0.0001,0.0001,0.0500,100000000
39,3.8302,4.0504,0.2203,3000,0.0001,0.0001,0.0500,100000000
40,4.0504,4.2803,0.2299,3000,0.0001,0.0001,0.0500,100000000
41,4.2803,4.5409,0.2606,3000,0.0001,0.0001,0.0500,100000000
42,4.5409,4.8038,0.2629,3000,0.0001,0.0001,0.0500,100000000
43,4.8038,5.0886,0.2848,3000,0.0001,0.0001,0.0500,100000000
44,5.0886,5.3756,0.2870,3000,0.0001,0.0001,0.0500,100000000
45,5.3756,5.6909,0.3153,3000,0.0001,0.0001,0.0500,100000000
46,5.6909,5.9912,0.3002,3000,0.0001,0.0001,0.0500,100000000
47,5.9912,6.3127,0.3215,3000,0.0001,0.0001,0.0500,100000000
48,6.3127,6.6601,0.3474,3000,0.0001,0.0001,0.0500,100000000
49,6.6601,7.0239,0.3638,3000,0.0001,0.0001,0.0500,100000000
50,7.0239,7.4268,0.4029,3000,0.0001,0.0001,0.0500,100000000
51,7.4268,7.8327,0.4059,3000,0.0001,0.0001,0.0500,100000000
52,7.8327,8.2754,0.4427,3000,0.0001,0.0001,0.0500,100000000
53,8.2754,8.7234,0.4480,3000,0.0001,0.0001,0.0500,100000000
54,8.7234,9.2008,0.4775,3000,0.0001,0.0002,0.0500,100000000
55,9.2008,9.6737,0.4728,3000,0.0001,0.0002,0.0500,100000000
56,9.6737,10.2232,0.5495,3000,0.0001,0.0002,0.0500,100000000
57,10.2232,10.7821,0.5589,3000,0.0002,0.0002,0.0500,100000000
58,10.7821,11.3626,0.5805,3000,0.0002,0.0002,0.0500,100000000
59,11.3626,11.9530,0.5904,3000,0.0002,0.0002,0.0500,100000000
60,11.9530,12.6006,0.6477,3000,0.0002,0.0002,0.0500,100000000
61,12.6006,13.2911,0.6905,3000,0.0002,0.0002,0.0500,100000000
62,13.2911,14.0203,0.7292,3000,0.0002,0.0002,0.0500,100000000
63,14.0203,14.7297,0.7094,3000,0.0002,0.0002,0.0500,100000000
64,14.7297,15.5159,0.7861,3000,0.0002,0.0003,0.0500,100000000
65,15.5159,16.3450,0.8292,3000,0.0002,0.0003,0.0500,100000000
66,16.3450,17.1952,0.8502,3000,0.0002,0.0003,0.0500,100000000
67,17.1952,18.0880,0.8928,3000,0.0003,0.0003,0.0500,100000000
68,18.0880,19.0397,0.9517,3000,0.0003,0.0003,0.0500,100000000
69,19.0397,19.9901,0.9504,3000,0.0003,0.0003,0.0500,100000000
70,19.9901,21.0378,1.0477,3000,0.0003,0.0003,0.0500,100000000
71,21.0378,22.1504,1.1127,3000,0.0003,0.0004,0.0500,100000000
72,22.1504,23.2155,1.0651,3000,0.0003,0.0004,0.0500,100000000
73,23.2155,24.3043,1.0887,3000,0.0003,0.0004,0.0500,100000000
74,24.3043,25.5180,1.2137,3000,0.0004,0.0004,0.0500,100000000
75,25.5180,26.7797,1.2617,3000,0.0004,0.0004,0.0500,100000000
76,26.7797,28.1935,1.4138,3000,0.0004,0.0005,0.0500,100000000
77,28.1935,29.6533,1.4598,3000,0.0004,0.0005,0.0500,100000000
78,29.6533,31.2165,1.5632,3000,0.0004,0.0005,0.0500,100000000
