Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,37.5702,37.5702,3000,0.0100,0.0125,0.0500,10000
2,37.5702,72.2394,34.6692,3000,0.0105,0.0116,0.0500,10000
3,72.2394,113.2605,41.0211,3000,0.0110,0.0137,0.0500,10000
4,113.2605,156.2171,42.9566,3000,0.0116,0.0143,0.0500,10000
5,156.2171,196.5613,40.3442,3000,0.0122,0.0134,0.0500,10000
6,196.5613,241.8262,45.2649,3000,0.0128,0.0151,0.0500,10000
7,241.8262,288.0031,46.1769,3000,0.0134,0.0154,0.0500,10000
8,288.0031,337.1994,49.1964,3000,0.0141,0.0164,0.0500,10000
9,337.1994,387.5470,50.3476,3000,0.0148,0.0168,0.0500,10000
10,387.5470,442.6281,55.0810,3000,0.0155,0.0184,0.0500,10000
11,442.6281,500.6208,57.9927,3000,0.0163,0.0193,0.0500,10000
12,500.6208,561.0826,60.4618,3000,0.0171,0.0202,0.0500,10000
13,561.0826,625.4184,64.3357,3000,0.0180,0.0214,0.0500,10000
14,625.4184,693.5244,68.1061,3000,0.0189,0.0227,0.0500,10000
15,693.5244,766.7108,73.1864,3000,0.0198,0.0244,0.0500,10000
16,766.7108,844.0684,77.3576,3000,0.0208,0.0258,0.0500,10000
17,844.0684,922.2609,78.1925,3000,0.0218,0.0261,0.0500,10000
18,922.2609,1007.2620,85.0012,3000,0.0229,0.0283,0.0500,10000
19,1007.2620,1090.4606,83.1986,3000,0.0241,0.0277,0.0500,10000
20,1090.4606,1176.2555,85.7949,3000,0.0253,0.0286,0.0500,10000
21,1176.2555,1274.5769,98.3214,3000,0.0265,0.0328,0.0500,10000
22,1274.5769,1374.0526,99.4756,3000,0.0279,0.0332,0.0500,10000
23,1374.0526,1481.0516,106.9990,3000,0.0293,0.0357,0.0500,10000
24,1481.0516,1589.4117,108.3601,3000,0.0307,0.0361,0.0500,10000
25,1589.4117,1708.7075,119.2959,3000,0.0323,0.0398,0.0500,10000
26,1708.7075,1827.1898,118.4823,3000,0.0339,0.0395,0.0500,10000
27,1827.1898,1952.8013,125.6114,3000,0.0356,0.0419,0.0500,10000
28,1952.8013,2090.0794,137.2781,3000,0.0373,0.0458,0.0500,10000
29,2090.0794,2230.0134,139.9339,3000,0.0392,0.0466,0.0500,10000
30,2230.0134,2380.0006,149.9873,3000,0.0412,0.0500,0.0500,10000
31,2380.0006,2525.2220,145.2214,3000,0.0432,0.0484,0.0500,10000
