Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,120.3591,120.3591,1000,0.1000,0.1204,0.0500,10000
2,120.3591,249.9534,129.5943,1000,0.1050,0.1296,0.0500,10000
3,249.9534,395.3945,145.4411,1000,0.1103,0.1454,0.0500,10000
4,395.3945,516.4729,121.0784,1000,0.1158,0.1211,0.0500,10000
5,516.4729,662.6202,146.1473,1000,0.1216,0.1461,0.0500,10000
6,662.6202,797.0832,134.4630,1000,0.1276,0.1345,0.0500,10000
7,797.0832,961.4772,164.3940,1000,0.1340,0.1644,0.0500,10000
8,961.4772,1163.7383,202.2612,1000,0.1407,0.2023,0.0500,10000
9,1163.7383,1319.8413,156.1030,1000,0.1477,0.1561,0.0500,10000
10,1319.8413,1513.6426,193.8013,1000,0.1551,0.1938,0.0500,10000
11,1513.6426,1713.4063,199.7637,1000,0.1629,0.1998,0.0500,10000
12,1713.4063,1924.6538,211.2475,1000,0.1710,0.2112,0.0500,10000
13,1924.6538,2128.6839,204.0301,1000,0.1796,0.2040,0.0500,10000
14,2128.6839,2332.3226,203.6387,1000,0.1886,0.2036,0.0500,10000
15,2332.3226,2550.7234,218.4007,1000,0.1980,0.2184,0.0500,10000
16,2550.7234,2796.6013,245.8779,1000,0.2079,0.2459,0.0500,10000
17,2796.6013,3067.6824,271.0811,1000,0.2183,0.2711,0.0500,10000
18,3067.6824,3324.8586,257.1762,1000,0.2292,0.2572,0.0500,10000
19,3324.8586,3596.7618,271.9032,1000,0.2407,0.2719,0.0500,10000
20,3596.7618,3873.9868,277.2250,1000,0.2527,0.2772,0.0500,10000
21,3873.9868,4197.3984,323.4116,1000,0.2653,0.3234,0.0500,10000
22,4197.3984,4504.2286,306.8302,1000,0.2786,0.3068,0.0500,10000
23,4504.2286,4862.0377,357.8091,1000,0.2925,0.3578,0.0500,10000
24,4862.0377,5221.9528,359.9151,1000,0.3072,0.3599,0.0500,10000
25,5221.9528,5575.0731,353.1204,1000,0.3225,0.3531,0.0500,10000
26,5575.0731,5972.9823,397.9091,1000,0.3386,0.3979,0.0500,10000
27,5972.9823,6377.5380,404.5557,1000,0.3556,0.4046,0.0500,10000
28,6377.5380,6821.9264,444.3884,1000,0.3733,0.4444,0.0500,10000
29,6821.9264,7278.3060,456.3796,1000,0.3920,0.4564,0.0500,10000
30,7278.3060,7770.6324,492.3265,1000,0.4116,0.4923,0.0500,10000
31,7770.6324,8238.5173,467.8849,1000,0.4322,0.4679,0.0500,10000
32,8238.5173,8829.7358,591.2185,1000,0.4538,0.5912,0.0500,10000
33,8829.7358,9389.5520,559.8162,1000,0.4765,0.5598,0.0500,10000
34,9389.5520,9984.4907,594.9387,1000,0.5003,0.5949,0.0500,10000
35,9984.4907,10588.8345,604.3438,1000,0.5253,0.6043,0.0500,10000
36,10588.8345,11248.3076,659.4731,1000,0.5516,0.6595,0.0500,10000
37,11248.3076,11913.2953,664.9876,1000,0.5792,0.6650,0.0500,10000
38,11913.2953,12648.8793,735.5840,1000,0.6081,0.7356,0.0500,10000
39,12648.8793,13430.9355,782.0562,1000,0.6385,0.7821,0.0500,10000
40,13430.9355,14201.8417,770.9062,1000,0.6705,0.7709,0.0500,10000
41,14201.8417,15083.2947,881.4530,1000,0.7040,0.8815,0.0500,10000
42,15083.2947,15977.6908,894.3961,1000,0.7392,0.8944,0.0500,10000
43,15977.6908,17028.5041,1050.8133,1000,0.7762,1.0508,0.0500,10000
44,17028.5041,17995.1000,966.5959,1000,0.8150,0.9666,0.0500,10000
45,17995.1000,18984.7271,989.6271,1000,0.8557,0.9896,0.0500,10000
46,18984.7271,20078.1223,1093.3952,1000,0.8985,1.0934,0.0500,10000
47,20078.1223,21311.6793,1233.5570,1000,0.9434,1.2336,0.0500,10000
48,21311.6793,22497.0187,1185.3394,1000,0.9906,1.1853,0.0500,10000
49,22497.0187,23751.2242,1254.2055,1000,1.0401,1.2542,0.0500,10000
50,23751.2242,25050.3281,1299.1040,1000,1.0921,1.2991,0.0500,10000
51,25050.3281,26411.2306,1360.9024,1000,1.1467,1.3609,0.0500,10000
52,26411.2306,27885.6781,1474.4476,1000,1.2041,1.4744,0.0500,10000
53,27885.6781,29488.5701,1602.8920,1000,1.2643,1.6029,0.0500,10000
54,29488.5701,31103.0655,1614.4954,1000,1.3275,1.6145,0.0500,10000
55,31103.0655,32819.8242,1716.7587,1000,1.3939,1.7168,0.0500,10000
56,32819.8242,34447.1534,1627.3293,1000,1.4636,1.6273,0.0500,10000
57,34447.1534,36158.3564,1711.2030,1000,1.5367,1.7112,0.0500,10000
58,36158.3564,38013.3034,1854.9470,1000,1.6136,1.8549,0.0500,10000
59,38013.3034,39927.2400,1913.9366,1000,1.6943,1.9139,0.0500,10000
60,39927.2400,41912.4795,1985.2395,1000,1.7790,1.9852,0.0500,10000
61,41912.4795,44259.1271,2346.6476,1000,1.8679,2.3466,0.0500,10000
62,44259.1271,46615.7979,2356.6709,1000,1.9613,2.3567,0.0500,10000
63,46615.7979,49185.4182,2569.6203,1000,2.0594,2.5696,0.0500,10000
64,49185.4182,51629.0089,2443.5907,1000,2.1623,2.4436,0.0500,10000
65,51629.0089,54387.0437,2758.0348,1000,2.2705,2.7580,0.0500,10000
66,54387.0437,57309.3282,2922.2845,1000,2.3840,2.9223,0.0500,10000
67,57309.3282,60584.6718,3275.3435,1000,2.5032,3.2753,0.0500,10000
68,60584.6718,63638.2374,3053.5657,1000,2.6283,3.0536,0.0500,10000
69,63638.2374,66915.4917,3277.2543,1000,2.7598,3.2773,0.0500,10000
70,66915.4917,70528.3199,3612.8282,1000,2.8978,3.6128,0.0500,10000
71,70528.3199,74115.7701,3587.4502,1000,3.0426,3.5875,0.0500,10000
72,74115.7701,77636.6291,3520.8591,1000,3.1948,3.5209,0.0500,10000
73,77636.6291,81595.5840,3958.9548,1000,3.3545,3.9590,0.0500,10000
74,81595.5840,86156.7455,4561.1616,1000,3.5222,4.5612,0.0500,10000
75,86156.7455,90682.9105,4526.1649,1000,3.6984,4.5262,0.0500,10000
76,90682.9105,95040.3044,4357.3940,1000,3.8833,4.3574,0.0500,10000
77,95040.3044,99671.3689,4631.0644,1000,4.0774,4.6311,0.0500,10000
78,99671.3689,104984.2159,5312.8471,1000,4.2813,5.3128,0.0500,10000
