Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Fix Rate, Machine Amount
1,0.0000,27000.0000,27000.0000,3000,9.0000,0.0500,100
2,27000.0000,55350.0000,28350.0000,3000,9.4500,0.0500,100
3,55350.0000,85117.5000,29767.5000,3000,9.9225,0.0078,100
4,85117.5000,115117.5000,30000.0000,3000,10.0000,0.0000,100
5,115117.5000,145117.5000,30000.0000,3000,10.0000,0.0000,100
6,145117.5000,175117.5000,30000.0000,3000,10.0000,0.0000,100
7,175117.5000,205117.5000,30000.0000,3000,10.0000,0.0000,100
8,205117.5000,235117.5000,30000.0000,3000,10.0000,0.0000,100
9,235117.5000,265117.5000,30000.0000,3000,10.0000,0.0000,100
10,265117.5000,295117.5000,30000.0000,3000,10.0000,0.0000,100
11,295117.5000,325117.5000,30000.0000,3000,10.0000,0.0000,100
12,325117.5000,355117.5000,30000.0000,3000,10.0000,0.0000,100
13,355117.5000,385117.5000,30000.0000,3000,10.0000,0.0000,100
14,385117.5000,415117.5000,30000.0000,3000,10.0000,0.0000,100
15,415117.5000,445117.5000,30000.0000,3000,10.0000,0.0000,100
16,445117.5000,475117.5000,30000.0000,3000,10.0000,0.0000,100
17,475117.5000,505117.5000,30000.0000,3000,10.0000,0.0000,100
18,505117.5000,535117.5000,30000.0000,3000,10.0000,0.0000,100
19,535117.5000,565117.5000,30000.0000,3000,10.0000,0.0000,100
20,565117.5000,595117.5000,30000.0000,3000,10.0000,0.0000,100
21,595117.5000,625117.5000,30000.0000,3000,10.0000,0.0000,100
22,625117.5000,655117.5000,30000.0000,3000,10.0000,0.0000,100
23,655117.5000,685117.5000,30000.0000,3000,10.0000,0.0000,100
24,685117.5000,715117.5000,30000.0000,3000,10.0000,0.0000,100
25,715117.5000,745117.5000,30000.0000,3000,10.0000,0.0000,100
26,745117.5000,775117.5000,30000.0000,3000,10.0000,0.0000,100
27,775117.5000,805117.5000,30000.0000,3000,10.0000,0.0000,100
28,805117.5000,835117.5000,30000.0000,3000,10.0000,0.0000,100
29,835117.5000,865117.5000,30000.0000,3000,10.0000,0.0000,100
30,865117.5000,895117.5000,30000.0000,3000,10.0000,0.0000,100
31,895117.5000,925117.5000,30000.0000,3000,10.0000,0.0000,100
32,925117.5000,955117.5000,30000.0000,3000,10.0000,0.0000,100
33,955117.5000,985117.5000,30000.0000,3000,10.0000,0.0000,100
34,985117.5000,1015117.5000,30000.0000,3000,10.0000,0.0000,100
35,1015117.5000,1045117.5000,30000.0000,3000,10.0000,0.0000,100
36,1045117.5000,1075117.5000,30000.0000,3000,10.0000,0.0000,100
37,1075117.5000,1105117.5000,30000.0000,3000,10.0000,0.0000,100
38,1105117.5000,1135117.5000,30000.0000,3000,10.0000,0.0000,100
39,1135117.5000,1165117.5000,30000.0000,3000,10.0000,0.0000,100
40,1165117.5000,1195117.5000,30000.0000,3000,10.0000,0.0000,100
41,1195117.5000,1225117.5000,30000.0000,3000,10.0000,0.0000,100
42,1225117.5000,1255117.5000,30000.0000,3000,10.0000,0.0000,100
43,1255117.5000,1285117.5000,30000.0000,3000,10.0000,0.0000,100
44,1285117.5000,1315117.5000,30000.0000,3000,10.0000,0.0000,100
45,1315117.5000,1345117.5000,30000.0000,3000,10.0000,0.0000,100
46,1345117.5000,1375117.5000,30000.0000,3000,10.0000,0.0000,100
47,1375117.5000,1405117.5000,30000.0000,3000,10.0000,0.0000,100
48,1405117.5000,1435117.5000,30000.0000,3000,10.0000,0.0000,100
49,1435117.5000,1465117.5000,30000.0000,3000,10.0000,0.0000,100
50,1465117.5000,1495117.5000,30000.0000,3000,10.0000,0.0000,100
51,1495117.5000,1525117.5000,30000.0000,3000,10.0000,0.0000,100
52,1525117.5000,1555117.5000,30000.0000,3000,10.0000,0.0000,100
53,1555117.5000,1585117.5000,30000.0000,3000,10.0000,0.0000,100
54,1585117.5000,1615117.5000,30000.0000,3000,10.0000,0.0000,100
55,1615117.5000,1645117.5000,30000.0000,3000,10.0000,0.0000,100
56,1645117.5000,1675117.5000,30000.0000,3000,10.0000,0.0000,100
57,1675117.5000,1705117.5000,30000.0000,3000,10.0000,0.0000,100
58,1705117.5000,1735117.5000,30000.0000,3000,10.0000,0.0000,100
59,1735117.5000,1765117.5000,30000.0000,3000,10.0000,0.0000,100
60,1765117.5000,1795117.5000,30000.0000,3000,10.0000,0.0000,100
61,1795117.5000,1825117.5000,30000.0000,3000,10.0000,0.0000,100
62,1825117.5000,1855117.5000,30000.0000,3000,10.0000,0.0000,100
63,1855117.5000,1885117.5000,30000.0000,3000,10.0000,0.0000,100
64,1885117.5000,1915117.5000,30000.0000,3000,10.0000,0.0000,100
65,1915117.5000,1945117.5000,30000.0000,3000,10.0000,0.0000,100
66,1945117.5000,1975117.5000,30000.0000,3000,10.0000,0.0000,100
67,1975117.5000,2005117.5000,30000.0000,3000,10.0000,0.0000,100
68,2005117.5000,2035117.5000,30000.0000,3000,10.0000,0.0000,100
69,2035117.5000,2065117.5000,30000.0000,3000,10.0000,0.0000,100
70,2065117.5000,2095117.5000,30000.0000,3000,10.0000,0.0000,100
71,2095117.5000,2125117.5000,30000.0000,3000,10.0000,0.0000,100
72,2125117.5000,2155117.5000,30000.0000,3000,10.0000,0.0000,100
73,2155117.5000,2185117.5000,30000.0000,3000,10.0000,0.0000,100
74,2185117.5000,2215117.5000,30000.0000,3000,10.0000,0.0000,100
75,2215117.5000,2245117.5000,30000.0000,3000,10.0000,0.0000,100
76,2245117.5000,2275117.5000,30000.0000,3000,10.0000,0.0000,100
77,2275117.5000,2305117.5000,30000.0000,3000,10.0000,0.0000,100
78,2305117.5000,2335117.5000,30000.0000,3000,10.0000,0.0000,100
79,2335117.5000,2365117.5000,30000.0000,3000,10.0000,0.0000,100
80,2365117.5000,2395117.5000,30000.0000,3000,10.0000,0.0000,100
81,2395117.5000,2425117.5000,30000.0000,3000,10.0000,0.0000,100
82,2425117.5000,2455117.5000,30000.0000,3000,10.0000,0.0000,100
83,2455117.5000,2485117.5000,30000.0000,3000,10.0000,0.0000,100
84,2485117.5000,2515117.5000,30000.0000,3000,10.0000,0.0000,100
85,2515117.5000,2545117.5000,30000.0000,3000,10.0000,0.0000,100
86,2545117.5000,2575117.5000,30000.0000,3000,10.0000,0.0000,100
87,2575117.5000,2595117.5000,20000.0000,3000,6.6667,0.0500,150
88,2595117.5000,2616117.5000,21000.0000,3000,7.0000,0.0500,150
89,2616117.5000,2638167.5000,22050.0000,3000,7.3500,0.0500,150
90,2638167.5000,2661320.0000,23152.5000,3000,7.7175,0.0500,150
91,2661320.0000,2685630.1250,24310.1250,3000,8.1034,0.0500,150
92,2685630.1250,2711155.7563,25525.6313,3000,8.5085,0.0500,150
93,2711155.7563,2737957.6691,26801.9128,3000,8.9340,0.0500,150
94,2737957.6691,2766099.6775,28142.0085,3000,9.3807,0.0500,150
95,2766099.6775,2795648.7864,29549.1089,3000,9.8497,0.0153,150
96,2795648.7864,2825648.7864,30000.0000,3000,10.0000,-0.0000,150
97,2825648.7864,2855648.7864,30000.0000,3000,10.0000,0.0000,150
98,2855648.7864,2885648.7864,30000.0000,3000,10.0000,0.0000,150
99,2885648.7864,2915648.7864,30000.0000,3000,10.0000,0.0000,150
100,2915648.7864,2945648.7864,30000.0000,3000,10.0000,0.0000,150
101,2945648.7864,2975648.7864,30000.0000,3000,10.0000,0.0000,150
102,2975648.7864,3005648.7864,30000.0000,3000,10.0000,0.0000,150
103,3005648.7864,3035648.7864,30000.0000,3000,10.0000,0.0000,150
104,3035648.7864,3065648.7864,30000.0000,3000,10.0000,0.0000,150
105,3065648.7864,3095648.7864,30000.0000,3000,10.0000,0.0000,150
106,3095648.7864,3125648.7864,30000.0000,3000,10.0000,0.0000,150
107,3125648.7864,3155648.7864,30000.0000,3000,10.0000,0.0000,150
108,3155648.7864,3185648.7864,30000.0000,3000,10.0000,0.0000,150
109,3185648.7864,3215648.7864,30000.0000,3000,10.0000,0.0000,150
110,3215648.7864,3245648.7864,30000.0000,3000,10.0000,0.0000,150
111,3245648.7864,3275648.7864,30000.0000,3000,10.0000,0.0000,150
112,3275648.7864,3305648.7864,30000.0000,3000,10.0000,0.0000,150
113,3305648.7864,3335648.7864,30000.0000,3000,10.0000,0.0000,150
114,3335648.7864,3365648.7864,30000.0000,3000,10.0000,0.0000,150
115,3365648.7864,3395648.7864,30000.0000,3000,10.0000,0.0000,150
116,3395648.7864,3425648.7864,30000.0000,3000,10.0000,0.0000,150
117,3425648.7864,3455648.7864,30000.0000,3000,10.0000,0.0000,150
118,3455648.7864,3485648.7864,30000.0000,3000,10.0000,0.0000,150
119,3485648.7864,3515648.7864,30000.0000,3000,10.0000,0.0000,150
120,3515648.7864,3545648.7864,30000.0000,3000,10.0000,0.0000,150
121,3545648.7864,3575648.7864,30000.0000,3000,10.0000,0.0000,150
122,3575648.7864,3605648.7864,30000.0000,3000,10.0000,0.0000,150
123,3605648.7864,3635648.7864,30000.0000,3000,10.0000,0.0000,150
124,3635648.7864,3665648.7864,30000.0000,3000,10.0000,0.0000,150
125,3665648.7864,3695648.7864,30000.0000,3000,10.0000,0.0000,150
126,3695648.7864,3725648.7864,30000.0000,3000,10.0000,0.0000,150
127,3725648.7864,3755648.7864,30000.0000,3000,10.0000,0.0000,150
128,3755648.7864,3785648.7864,30000.0000,3000,10.0000,0.0000,150
129,3785648.7864,3815648.7864,30000.0000,3000,10.0000,0.0000,150
130,3815648.7864,3845648.7864,30000.0000,3000,10.0000,0.0000,150
131,3845648.7864,3875648.7864,30000.0000,3000,10.0000,0.0000,150
132,3875648.7864,3905648.7864,30000.0000,3000,10.0000,0.0000,150
133,3905648.7864,3935648.7864,30000.0000,3000,10.0000,0.0000,150
134,3935648.7864,3965648.7864,30000.0000,3000,10.0000,0.0000,150
135,3965648.7864,3995648.7864,30000.0000,3000,10.0000,0.0000,150
136,3995648.7864,4025648.7864,30000.0000,3000,10.0000,0.0000,150
137,4025648.7864,4055648.7864,30000.0000,3000,10.0000,0.0000,150
138,4055648.7864,4085648.7864,30000.0000,3000,10.0000,0.0000,150
139,4085648.7864,4115648.7864,30000.0000,3000,10.0000,0.0000,150
140,4115648.7864,4145648.7864,30000.0000,3000,10.0000,0.0000,150
141,4145648.7864,4175648.7864,30000.0000,3000,10.0000,0.0000,150
142,4175648.7864,4205648.7864,30000.0000,3000,10.0000,0.0000,150
143,4205648.7864,4235648.7864,30000.0000,3000,10.0000,0.0000,150
144,4235648.7864,4265648.7864,30000.0000,3000,10.0000,0.0000,150
145,4265648.7864,4295648.7864,30000.0000,3000,10.0000,0.0000,150
146,4295648.7864,4325648.7864,30000.0000,3000,10.0000,0.0000,150
147,4325648.7864,4355648.7864,30000.0000,3000,10.0000,0.0000,150
148,4355648.7864,4385648.7864,30000.0000,3000,10.0000,0.0000,150
149,4385648.7864,4415648.7864,30000.0000,3000,10.0000,0.0000,150
150,4415648.7864,4445648.7864,30000.0000,3000,10.0000,0.0000,150
151,4445648.7864,4475648.7864,30000.0000,3000,10.0000,0.0000,150
152,4475648.7864,4505648.7864,30000.0000,3000,10.0000,0.0000,150
153,4505648.7864,4535648.7864,30000.0000,3000,10.0000,0.0000,150
154,4535648.7864,4565648.7864,30000.0000,3000,10.0000,0.0000,150
155,4565648.7864,4595648.7864,30000.0000,3000,10.0000,0.0000,150
156,4595648.7864,4625648.7864,30000.0000,3000,10.0000,0.0000,150
157,4625648.7864,4655648.7864,30000.0000,3000,10.0000,0.0000,150
158,4655648.7864,4685648.7864,30000.0000,3000,10.0000,0.0000,150
159,4685648.7864,4715648.7864,30000.0000,3000,10.0000,0.0000,150
160,4715648.7864,4745648.7864,30000.0000,3000,10.0000,0.0000,150
161,4745648.7864,4775648.7864,30000.0000,3000,10.0000,0.0000,150
162,4775648.7864,4805648.7864,30000.0000,3000,10.0000,0.0000,150
163,4805648.7864,4835648.7864,30000.0000,3000,10.0000,0.0000,150
164,4835648.7864,4865648.7864,30000.0000,3000,10.0000,0.0000,150
165,4865648.7864,4895648.7864,30000.0000,3000,10.0000,0.0000,150
166,4895648.7864,4925648.7864,30000.0000,3000,10.0000,0.0000,150
167,4925648.7864,4985648.7864,60000.0000,3000,20.0000,-0.0500,75
168,4985648.7864,5042648.7864,57000.0000,3000,19.0000,-0.0500,75
169,5042648.7864,5096798.7864,54150.0000,3000,18.0500,-0.0500,75
170,5096798.7864,5148241.2864,51442.5000,3000,17.1475,-0.0500,75
171,5148241.2864,5197111.6614,48870.3750,3000,16.2901,-0.0500,75
172,5197111.6614,5243538.5176,46426.8563,3000,15.4756,-0.0500,75
173,5243538.5176,5287644.0311,44105.5134,3000,14.7018,-0.0500,75
174,5287644.0311,5329544.2688,41900.2378,3000,13.9667,-0.0500,75
175,5329544.2688,5369349.4947,39805.2259,3000,13.2684,-0.0500,75
176,5369349.4947,5407164.4593,37814.9646,3000,12.6050,-0.0500,75
177,5407164.4593,5443088.6757,35924.2164,3000,11.9747,-0.0500,75
178,5443088.6757,5477216.6812,34128.0055,3000,11.3760,-0.0500,75
179,5477216.6812,5509638.2865,32421.6053,3000,10.8072,-0.0500,75
180,5509638.2865,5540438.8115,30800.5250,3000,10.2668,-0.0260,75
181,5540438.8115,5570438.8115,30000.0000,3000,10.0000,0.0000,75
182,5570438.8115,5600438.8115,30000.0000,3000,10.0000,0.0000,75
183,5600438.8115,5630438.8115,30000.0000,3000,10.0000,0.0000,75
184,5630438.8115,5660438.8115,30000.0000,3000,10.0000,0.0000,75
185,5660438.8115,5690438.8115,30000.0000,3000,10.0000,0.0000,75
186,5690438.8115,5720438.8115,30000.0000,3000,10.0000,0.0000,75
187,5720438.8115,5750438.8115,30000.0000,3000,10.0000,0.0000,75
188,5750438.8115,5780438.8115,30000.0000,3000,10.0000,0.0000,75
189,5780438.8115,5810438.8115,30000.0000,3000,10.0000,0.0000,75
190,5810438.8115,5840438.8115,30000.0000,3000,10.0000,0.0000,75
191,5840438.8115,5870438.8115,30000.0000,3000,10.0000,0.0000,75
192,5870438.8115,5900438.8115,30000.0000,3000,10.0000,0.0000,75
193,5900438.8115,5930438.8115,30000.0000,3000,10.0000,0.0000,75
194,5930438.8115,5960438.8115,30000.0000,3000,10.0000,0.0000,75
195,5960438.8115,5990438.8115,30000.0000,3000,10.0000,0.0000,75
196,5990438.8115,6020438.8115,30000.0000,3000,10.0000,0.0000,75
197,6020438.8115,6050438.8115,30000.0000,3000,10.0000,0.0000,75
198,6050438.8115,6080438.8115,30000.0000,3000,10.0000,0.0000,75
199,6080438.8115,6110438.8115,30000.0000,3000,10.0000,0.0000,75
200,6110438.8115,6140438.8115,30000.0000,3000,10.0000,0.0000,75
201,6140438.8115,6170438.8115,30000.0000,3000,10.0000,0.0000,75
202,6170438.8115,6200438.8115,30000.0000,3000,10.0000,0.0000,75
203,6200438.8115,6230438.8115,30000.0000,3000,10.0000,0.0000,75
204,6230438.8115,6260438.8115,30000.0000,3000,10.0000,0.0000,75
205,6260438.8115,6290438.8115,30000.0000,3000,10.0000,0.0000,75
206,6290438.8115,6320438.8115,30000.0000,3000,10.0000,0.0000,75
207,6320438.8115,6350438.8115,30000.0000,3000,10.0000,0.0000,75
